Продукт,Калорийность,Углеводы,Белки,Жиры
Авокадо,160 кКал,"1,83 г",2 г,"14,66 г"
"Авокадо, Калифорнийские, сырые",167 кКал,"1,84 г","1,96 г","15,41 г"
"Авокадо, Флоридские, сырые",120 кКал,"2,22 г","2,23 г","10,06 г"
Агава приготовленная,135 кКал,"21,4 г","0,99 г","0,29 г"
Агава сушеная,341 кКал,"66,38 г","1,71 г","0,69 г"
Агава сырая,68 кКал,"9,63 г","0,52 г","0,15 г"
Айсберг (салат кочанный),14 кКал,"1,77 г","0,9 г","0,14 г"
"Амарант листья, вареные, без соли",21 кКал,"4,11 г","2,11 г","0,18 г"
"Амарант листья, сырые",23 кКал,"4,02 г","2,46 г","0,33 г"
"Амарант, листья, вареные, с солью",21 кКал,"4,11 г","2,11 г","0,18 г"
Артишок,47 кКал,"5,11 г","3,27 г","0,15 г"
Артишок вареный с солью,51 кКал,"5,69 г","2,89 г","0,34 г"
"Артишок вареный, без соли",53 кКал,"6,25 г","2,89 г","0,34 г"
"Артишок вареный, замороженные, без соли",45 кКал,"4,58 г","3,11 г","0,5 г"
"Артишок замороженные, вареные, с солью",45 кКал,"4,58 г","3,11 г","0,5 г"
Артишок замороженный неприготовленный,38 кКал,"3,85 г","2,63 г","0,43 г"
"Артишок испанский, вареный, без соли",22 кКал,"3,63 г","0,76 г","0,11 г"
"Артишок испанский, вареный, с солью",20 кКал,"3,04 г","0,76 г","0,11 г"
"Артишок испанский, сырой",17 кКал,"2,47 г","0,7 г","0,1 г"
"Аурикулярия густоволосистая, сушеная",284 кКал,"2,91 г","9,25 г","0,73 г"
"Аурикулярия уховидная, сушеная",298 кКал,"81,03 г","4,82 г","0,44 г"
"Аурикулярия уховидная, сырая",25 кКал,"6,75 г","0,48 г","0,04 г"
"Базелла белая, приготовленная",23 кКал,"0,61 г","2,98 г","0,78 г"
Баклажан,24 кКал,"4,5 г","1,2 г","0,1 г"
"Баклажан, вареный, без соли",35 кКал,"6,23 г","0,83 г","0,23 г"
"Баклажан, вареный, с солью",33 кКал,"5,64 г","0,83 г","0,23 г"
"Баклажан, сырой",25 кКал,"2,88 г","0,98 г","0,18 г"
