Продукт,Калорийность,Углеводы,Белки,Жиры
Фарш грибной,"353,1 кКал","9,1 г",34 г,"20,3 г"
Фарш из зеленого лука с яйцом,"89,1 кКал","3,5 г","3,1 г","7,1 г"
Фарш из картофеля и свинины,"260,3 кКал","14,7 г","9,7 г","18,5 г"
Фарш из квашеной капусты,"53,8 кКал","4,7 г","1,8 г","3,2 г"
Фарш из рыбы и капусты,"181,2 кКал","2,7 г","17,7 г","11,1 г"
Фарш из рыбы и картофеля,"176,3 кКал","6,2 г","18,4 г","8,8 г"
Фарш из рыбы и яиц,"206,2 кКал","1,7 г","20,9 г","12,9 г"
Фарш из свежей капусты,"97,8 кКал","4,8 г","3,8 г","7,2 г"
Фарш картофельный с грибами или луком (1-й вариант),"148,6 кКал","13,8 г","9,2 г","6,7 г"
Фарш ливерный с кашей,"380,5 кКал","45,3 г","22,9 г","13,3 г"
Фарш морковный,"91,3 кКал","10,7 г",2 г,"4,8 г"
Фарш морковный с рисом,188 кКал,"29,1 г","3,4 г","7,2 г"
Фарш морковный с яйцом,"128,9 кКал","9,1 г","3,7 г","8,9 г"
Фарш мясной с рисом и яйцом,"362,7 кКал","20,1 г","26,5 г","20,1 г"
Фарш рисовый с грибами,"366,2 кКал","67,3 г","10,5 г",8 г
Фарш рисовый с яйцом,"352,9 кКал","65,1 г",8 г,"8,5 г"
Фарш рыбный,"286,2 кКал","2,2 г","35,4 г","15,1 г"
Фарш рыбный с рисом,"291,7 кКал","29,3 г","27,2 г","8,1 г"
Фарш рыбный с рисом и визигой,"241,4 кКал","11,6 г","29,8 г","8,7 г"
"Фарш творожный (для ватрушек, пирожков и вареников)","266,4 кКал","13,8 г","13,1 г","18,1 г"
Фарш яблочный,"149,1 кКал","38,3 г","0,4 г","0,4 г"
