Продукт,Калорийность,Углеводы,Белки,Жиры
"Биточки паровые из курицы, по 2-24",176 кКал,"9,3 г","18,6 г","7,2 г"
"Брикет из куриного мяса, замороженный, неприготовленный",292 кКал,"12,41 г","14,33 г","20,04 г"
"Брикет из куриного мяса, замороженный, приготовленный",287 кКал,"12,54 г","14,85 г","19,58 г"
Бульон куриный,36 кКал,"3,53 г","2,52 г","1,2 г"
"Ветчина из индейки, темное мясо, копченая, замороженная",118 кКал,"3,1 г","16,3 г",4 г
"Голубь, приготовленный (включая голубят)",213 кКал,0 г,"23,9 г",13 г
"Голубь, птенцы",294 кКал,0 г,"18,47 г","23,8 г"
"Голубь, птенцы, белое мясо без кожи",134 кКал,0 г,"21,76 г","4,52 г"
"Голубь, птенцы, только мясо",142 кКал,0 г,"17,5 г","7,5 г"
Грудка цыпленка-бройлера (филе),116 кКал,"0,3 г","19,6 г","4,1 г"
Гусь 1 кат.,412 кКал,0 г,"15,2 г",39 г
Гусь 2 кат.,317 кКал,0 г,17 г,"27,7 г"
Гусь домашний,371 кКал,0 г,"15,86 г","33,62 г"
"Гусь домашний, запечённый",305 кКал,0 г,"25,16 г","21,92 г"
"Гусь домашний, только мясо",161 кКал,0 г,"22,75 г","7,13 г"
"Гусь домашний, только мясо, запечённый",238 кКал,0 г,"28,97 г","12,67 г"
Гусята 1 кат.,326 кКал,0 г,"16,6 г","28,8 г"
Гусята 2 кат.,208 кКал,0 г,"19,1 г","14,6 г"
"Домашняя птица, мясо  механической обвалки со спинок и шеек без кожи, сырое",199 кКал,0 г,"13,79 г","15,48 г"
"Домашняя птица, мясо зрелых индеек, без костей, сырое",243 кКал,0 г,"14,72 г","19,98 г"
"Домашняя птица, мясо механической обвалки со спинок и шеек с кожей, сырое",272 кКал,0 г,"11,39 г","24,73 г"
Желудки индейки,111 кКал,0 г,"18,8 г","3,37 г"
"Желудки индейки, вареные на медленном огне",155 кКал,0 г,"26,45 г","4,64 г"
Желудки куриные,94 кКал,0 г,"17,66 г","2,06 г"
"Желудки куриные, вареные на медленном огне",154 кКал,0 г,"30,39 г","2,68 г"
Желудок куриный,130 кКал,"0,6 г",21 г,"6,4 г"
Желудок цыпленка бройлера,122 кКал,"0,8 г","20,7 г",4 г
Индейка,144 кКал,"0,14 г","21,64 г","5,64 г"
Индейка 1 кат.,276 кКал,0 г,"19,5 г",22 г
Индейка 2 кат.,194 кКал,0 г,"21,6 г",12 г
"Индейка для тако, замороженная, приготовленная",148 кКал,"3,03 г","16,8 г","7,58 г"
"Индейка с подливкой, замороженная",67 кКал,"4,61 г","5,88 г","2,63 г"
"Индейка, бедра, предварительно замаринованные, запечённые",157 кКал,0 г,"18,8 г","8,54 г"
"Индейка, бедро, мясо с кожей",161 кКал,0 г,"19,54 г","9,16 г"
"Индейка, бедро, мясо с кожей, запечённое",183 кКал,"0,41 г","23,95 г","9,5 г"
"Индейка, бедро, только мясо",116 кКал,0 г,"20,6 г","3,69 г"
"Индейка, бедро, только мясо, запечённое",159 кКал,"0,46 г","25,14 г","6,25 г"
"Индейка, белое и темное мясо нарезанное, приправленное",138 кКал,1 г,"18,7 г",6 г
"Индейка, белое или темное мясо без кожи, копченое",162 кКал,0 г,"29,3 г",5 г
"Индейка, белое или темное мясо с кожей, копченое",208 кКал,0 г,"28,1 г","9,7 г"
"Индейка, белое мясо",114 кКал,"0,14 г","23,66 г","1,48 г"
"Индейка, белое мясо с кожей",161 кКал,"0,15 г","21,96 г","7,43 г"
"Индейка, белое мясо с кожей, запечённая",177 кКал,"0,05 г","29,55 г","5,57 г"
"Индейка, белое мясо, запечённая",147 кКал,0 г,"30,13 г","2,08 г"
"Индейка, голень копчёная",200 кКал,0 г,"27,9 г","9,8 г"
"Индейка, голень, мясо с кожей",141 кКал,0 г,"19,96 г","6,84 г"
"Индейка, голень, мясо с кожей, запечённая",197 кКал,0 г,"28,21 г","9,37 г"
"Индейка, голень, только мясо",118 кКал,0 г,"20,52 г","3,97 г"
"Индейка, голень, только мясо, запечённая",173 кКал,0 г,"28,61 г","6,52 г"
"Индейка, грудка с кожей",157 кКал,0 г,"21,89 г","7,02 г"
"Индейка, грудка с кожей, запечённая",189 кКал,0 г,"28,71 г","7,41 г"
"Индейка, грудка с кожей, предварительно замаринованная, запечённая",126 кКал,0 г,"22,16 г","3,46 г"
"Индейка, грудка, только мясо",114 кКал,"0,14 г","23,66 г","1,48 г"
"Индейка, грудка, только мясо, запечённая",147 кКал,0 г,"30,13 г","2,08 г"
"Индейка, жареная, по 2-16",280 кКал,"0,1 г","23,4 г","20,7 г"
"Индейка, жаркое, белое и темное мясо без костей, приправленное, замороженное",120 кКал,"6,4 г","17,6 г","2,2 г"
"Индейка, жаркое, белое и темное мясо без костей, приправленное, замороженное, запечённое",155 кКал,"3,07 г","21,32 г","5,78 г"
"Индейка, запечённая",189 кКал,"0,06 г","28,55 г","7,39 г"
"Индейка, крылышки",197 кКал,0 г,"20,22 г","12,32 г"
"Индейка, крылышки, запечённые",229 кКал,0 г,"27,38 г","12,43 г"
"Индейка, крылышки, копченые",221 кКал,0 г,"27,4 г","12,41 г"
"Индейка, крылышки, только мясо",115 кКал,"0,14 г","23,66 г","1,48 г"
"Индейка, крылышки, только мясо, запечённые",147 кКал,0 г,"30,13 г","2,08 г"
"Индейка, мясо механически отделённое от костей",201 кКал,0 г,"13,29 г","15,96 г"
"Индейка, окорочка",144 кКал,0 г,"19,54 г","6,72 г"
"Индейка, окорочка, запечённые",208 кКал,0 г,"27,87 г","9,82 г"
"Индейка, отварная, по 2-6",273 кКал,0 г,"23,6 г","19,8 г"
"Индейка, потроха",124 кКал,"0,07 г","18,18 г","5,09 г"
"Индейка, потроха и шейки",157 кКал,"0,08 г","20,37 г","7,77 г"
"Индейка, потроха и шейки,  запечённые",205 кКал,"0,07 г","27,98 г","9,45 г"
"Индейка, потроха, вареные на медленном огне",173 кКал,0 г,"26,44 г","6,61 г"
"Индейка, спинка",196 кКал,0 г,"18,11 г","13,11 г"
"Индейка, спинка, запечённая",244 кКал,"0,16 г","26,59 г","14,38 г"
"Индейка, спинки, только мясо",113 кКал,"0,15 г","21,28 г","2,5 г"
"Индейка, спинки, только мясо, запечённые",173 кКал,0 г,"27,71 г","6,04 г"
"Индейка, темное мясо",108 кКал,"0,15 г","21,28 г","2,5 г"
"Индейка, темное мясо с кожей",166 кКал,"0,15 г","19,81 г","8,97 г"
"Индейка, темное мясо с кожей,  запечённое",206 кКал,"0,07 г","27,27 г","9,95 г"
"Индейка, темное мясо, запечённое",173 кКал,0 г,"27,71 г","6,04 г"
"Индейка, только кожа",407 кКал,"0,16 г","12,96 г","38,93 г"
"Индейка, только кожа, запечённая",459 кКал,"0,57 г","23,94 г","39,31 г"
"Индейка, только мясо",115 кКал,"0,14 г","22,64 г","1,93 г"
"Индейка, только мясо, запечённая",159 кКал,0 г,"29,06 г","3,84 г"
"Индейка, только мясо, консервированное в бульоне",169 кКал,"1,47 г","23,68 г","6,86 г"
"Индейка, цыплята",134 кКал,0 г,"22,37 г","4,25 г"
"Индейка, цыплята, белое мясо",108 кКал,0 г,"24,18 г","0,49 г"
"Индейка, цыплята, белое мясо с кожей",133 кКал,0 г,"23,09 г","3,81 г"
"Индейка, цыплята, белое мясо с кожей, запечённые",164 кКал,0 г,"28,77 г","4,58 г"
"Индейка, цыплята, белое мясо, запечённые",140 кКал,0 г,"30,19 г","1,18 г"
"Индейка, цыплята, грудка с кожей",125 кКал,0 г,"23,76 г","2,65 г"
"Индейка, цыплята, грудка с кожей, запечённая",153 кКал,0 г,"29,07 г","3,2 г"
"Индейка, цыплята, запечённые",172 кКал,0 г,"28,26 г","5,72 г"
"Индейка, цыплята, крылышки",159 кКал,0 г,"20,85 г","7,72 г"
"Индейка, цыплята, крылышки, запечённые",207 кКал,0 г,"27,65 г","9,87 г"
"Индейка, цыплята, окорочка, мясо и кожа, приготовленные, жареные на открытом огне",170 кКал,0 г,"28,49 г","5,41 г"
"Индейка, цыплята, окорочка, мясо и кожа, сырые",118 кКал,0 г,"20,13 г","3,57 г"
"Индейка, цыплята, окорочка, только мясо, приготовленное, жареное на открытом огне",159 кКал,0 г,"29,19 г","3,77 г"
"Индейка, цыплята, окорочка, только мясо, сырое",108 кКал,0 г,"20,35 г","2,37 г"
"Индейка, цыплята, потроха и шейки",133 кКал,"0,05 г","22,15 г","4,25 г"
"Индейка, цыплята, потроха и шейки, запечённые",171 кКал,"0,04 г","28,08 г","5,64 г"
"Индейка, цыплята, спинки",151 кКал,0 г,"19,89 г","7,27 г"
"Индейка, цыплята, спинки, запечённые",204 кКал,0 г,"26,15 г","10,24 г"
"Индейка, цыплята, темное мясо",111 кКал,0 г,"20,46 г","2,67 г"
"Индейка, цыплята, темное мясо с кожей",129 кКал,0 г,"20,06 г","4,79 г"
"Индейка, цыплята, темное мясо с кожей, запечённые",182 кКал,0 г,"27,69 г","7,06 г"
"Индейка, цыплята, темное мясо, запечённые",162 кКал,0 г,"28,84 г","4,31 г"
"Индейка, цыплята, только кожа",283 кКал,0 г,"16,6 г","23,54 г"
"Индейка, цыплята, только кожа, запечённая",299 кКал,0 г,"20,94 г","23,28 г"
"Индейка, цыплята, только мясо",110 кКал,0 г,"22,32 г","1,58 г"
"Индейка, цыплята, только мясо, запечённое",150 кКал,0 г,"29,56 г","2,63 г"
"Индейка, шейки, только мясо",125 кКал,0 г,"16,51 г","6,04 г"
"Индейка, шейки, только мясо, вареное на медленном огне",162 кКал,0 г,"22,48 г","7,36 г"
Индюшата 1 кат.,182 кКал,"0,6 г","18,5 г","11,7 г"
Индюшата 2 кат.,134 кКал,"0,6 г","21,7 г",5 г
"Канадский гусь, грудка, только мясо",133 кКал,0 г,"24,31 г","4,02 г"
"Котлеты (патти) из мяса индейки, обжаренныев панировке и кляре",283 кКал,"15,7 г",14 г,18 г
"Котлеты рубленые, цыплята, по 2-22",238 кКал,"13,5 г","15,2 г","13,6 г"
"Котлеты, индейка, по 2-22",220 кКал,"8,7 г","18,6 г","12,2 г"
"Котлеты, курица, по 2-20",222 кКал,"13,8 г","18,2 г","10,4 г"
Куриная грудка (филе),113 кКал,"0,4 г","23,6 г","1,9 г"
"Куриная грудка для фахито, замороженная",135 кКал,"2,23 г","18,56 г","5,73 г"
"Куриное филе (грудка), приготовленное в микроволновой печи",252 кКал,"17,56 г","16,35 г","12,89 г"
"Куриные лапки, вареные",215 кКал,"0,2 г","19,4 г","14,6 г"
Куриные нагетсы,276 кКал,"14,38 г","13,89 г","18,06 г"
"Куриные нагетсы, приготовленные",296 кКал,"14,09 г","15,27 г","19,82 г"
Куриный окорочок,185 кКал,"0,1 г","21,3 г",11 г
Куриный фарш,143 кКал,"0,04 г","17,44 г","8,1 г"
"Куриный фарш, рубленный, подрумяненый на сковороде",189 кКал,0 г,"23,28 г","10,92 г"
Курица 1 кат.,238 кКал,0 г,"18,2 г","18,4 г"
Курица 2 кат.,159 кКал,0 г,"21,2 г","8,2 г"
Курица бройлерная,200 кКал,0 г,"17,15 г","14,02 г"
"Курица бройлерная, запечённая",259 кКал,0 г,"22,27 г","18,21 г"
