Продукт,Калорийность,Углеводы,Белки,Жиры
"DENNY'S, стейк-филе",182 кКал,"0,14 г","28,9 г","7,34 г"
"Говядина, с овощами, Китайский ресторан",105 кКал,"5,79 г","7,08 г","5,3 г"
"Курица в лимоне, Китайский ресторан",252 кКал,"19,61 г","11,87 г","13,55 г"
"Курица, Цыпленок, ""Кунг-Пао"", Китайский ресторан",129 кКал,"5,37 г","9,76 г","6,98 г"
"Ресторан-магазин Cracker Barrel, картофель фри",255 кКал,"27,37 г","3,26 г","13,18 г"
"Ресторан-магазин Cracker Barrel, креветки, жаренные по деревенски, тарелка",287 кКал,"21,1 г","12,62 г","16,77 г"
"Ресторан-магазин Cracker Barrel, куриное филе, тарелка, жареное, детское меню",294 кКал,"19,24 г","18,67 г","15,41 г"
"Ресторан-магазин Cracker Barrel, макароны с сыром, тарелка, детское меню",192 кКал,"14,88 г","6,46 г","11,51 г"
"Ресторан-магазин Cracker Barrel, сом, разводимый, тарелка",266 кКал,"3,71 г","22,94 г","17,05 г"
"Ресторан-магазин Cracker Barrel, стейк-филе, (бифштекс), гриль",203 кКал,0 г,"31,52 г","8,52 г"
"Ресторан,  семейный стиль, стейк-филе",186 кКал,"0,07 г","28,78 г","7,88 г"
"Ресторан, APPLEBEE'S, 9 унцевый домашний стейк-филе",189 кКал,0 г,"26,85 г","9,08 г"
"Ресторан, APPLEBEE'S, KRAFT, макароны с сыром, детское меню",143 кКал,"19,78 г","5,01 г","4,34 г"
"Ресторан, APPLEBEE'S, дважды хрустящие креветки ( Double Crunch Shrimp)",323 кКал,"23,36 г","12,31 г","18,9 г"
"Ресторан, APPLEBEE'S, картофель фри",290 кКал,"35,6 г","3,31 г","13,17 г"
"Ресторан, APPLEBEE'S, куриные палочки, детское меню",296 кКал,"17,16 г","19,25 г","16,15 г"
"Ресторан, APPLEBEE'S, сырные палочки (моцарелла)",316 кКал,"20,77 г","14,87 г","18,37 г"
"Ресторан, DENNY'S, MOONS & STARS куриные наггетсы, детское меню",377 кКал,"12,79 г","16,27 г","28,57 г"
"Ресторан, DENNY'S, золотые жареные креветки",277 кКал,"20,21 г","11,51 г","16,67 г"
"Ресторан, DENNY'S, картофель фри",282 кКал,"31,7 г","3,41 г","14,13 г"
"Ресторан, DENNY'S, макароны с сыром, детское меню",150 кКал,"19,96 г","5,19 г","4,92 г"
"Ресторан, DENNY'S, сырные палочки (моцарелла)",324 кКал,"25,62 г","13,56 г","17,87 г"
"Ресторан, Латино, Аррос Кон Грэндулс, (рис и горох)",182 кКал,"29,35 г","3,5 г","4,98 г"
"Ресторан, Латино, Аррос Кон Лече, (рисовый пуддинг)",146 кКал,"24,42 г","3,2 г","3,69 г"
"Ресторан, Латино, Аррос Кон Фрайджолс Негро, (рис и черная фасоль)",151 кКал,21 г,"4,64 г","3,85 г"
"Ресторан, Латино, Аррос Кон Хэбичуелас Колорадо, (рис и красная фасоль)",142 кКал,"21,14 г","3,96 г","3,46 г"
"Ресторан, Латино, курица с рисом, блюдо, приготовленные",174 кКал,"18,83 г","12,02 г","5,06 г"
"Ресторан, Латино, эмпанадас, говядина, приготовленные",335 кКал,"29,19 г","11,31 г","18,37 г"
"Ресторан, семейный стиль, жаренные сырные палочки (моцарелла)",325 кКал,"23,14 г","14,75 г","18,33 г"
"Ресторан, семейный стиль, картофель фри",289 кКал,"33,3 г","3,49 г","14,04 г"
"Ресторан, семейный стиль, креветки, жареные в панировке",308 кКал,"20,79 г","12,67 г","18,67 г"
"Ресторан, семейный стиль, куриные палочки, детское меню",307 кКал,"17,67 г","18,68 г","17,45 г"
"Ресторан, семейный стиль, макароны с сыром, детское меню",151 кКал,"17,7 г","5,42 г","6,06 г"
"Рис, жареный, Китайский ресторан",174 кКал,"31,69 г","4,05 г","2,96 г"
"Рулеты яичные, ассорти, Китайский ресторан",250 кКал,"24,69 г","8,28 г","11,94 г"
