Продукт,Калорийность,Углеводы,Белки,Жиры
Акула катран,143 кКал,0 г,"19,9 г",7 г
"Акула, все виды, приготовленная, обжаренная в панировке",228 кКал,"6,39 г","18,62 г","13,82 г"
"Акула, все виды, сырая",130 кКал,0 г,"20,98 г","4,51 г"
Альбула,106 кКал,0 г,23 г,"1,5 г"
Анчоус атлантический,135 кКал,0 г,"20,1 г","6,1 г"
"Анчоус европейский, консервированный в масле, сухой продукт без маринада",210 кКал,0 г,"28,89 г","9,71 г"
"Анчоус европейский, сырой",131 кКал,0 г,"20,35 г","4,84 г"
Аргентина,88 кКал,0 г,"17,6 г",2 г
"Асцидия, (tunughnak), (Аляска)",20 кКал,0 г,"3,8 г","0,5 г"
Балык осетровый вяленый,177 кКал,0 г,"21,6 г","10,1 г"
Балык осетровый холодного копчения,194 кКал,0 г,"20,4 г","12,5 г"
"Барабулька, приготовленная на жару",150 кКал,0 г,"24,81 г","4,86 г"
"Барабулька, сырая",117 кКал,0 г,"19,35 г","3,79 г"
"Баттерфиш, весенне-летняя",140 кКал,0 г,"17,3 г","7,9 г"
"Баттерфиш, осенне-зимняя",201 кКал,0 г,"17,3 г","14,6 г"
"Белая рыба, все виды",134 кКал,0 г,"19,09 г","5,86 г"
"Белая рыба, все виды, копченая",108 кКал,0 г,"23,4 г","0,93 г"
"Белая рыба, все виды, приготовленная на жару",172 кКал,0 г,"24,47 г","7,51 г"
Белоглазка аральская холодного копчения,244 кКал,0 г,"27,5 г","14,9 г"
"Белоглазка, аральская",144 кКал,0 г,"17,9 г",8 г
"Белоглазка, волго-каспийская",92 кКал,0 г,"18,8 г","1,9 г"
Белорыбица,274 кКал,0 г,"20,1 г","21,5 г"
Белуга бланшированная консервированная,234 кКал,0 г,"23,3 г","15,6 г"
"Белуга, глаза (Аляска)",291 кКал,0 г,"19,6 г","23,3 г"
"Бельдюга американская, приготовленная на жару",102 кКал,0 г,"21,33 г","1,17 г"
"Бельдюга американская, сырая",79 кКал,0 г,"16,64 г","0,91 г"
Бельдюга океаническая,89 кКал,0 г,"17,6 г","2,1 г"
Берикс,88 кКал,0 г,"20,3 г","0,8 г"
Бесуго,145 кКал,0 г,20 г,"7,2 г"
Боковник белужий холодного копчения,228 кКал,0 г,"18,2 г","17,2 г"
Большеголов,94 кКал,0 г,"11,4 г","5,4 г"
Большеголов атлантический,76 кКал,0 г,"16,41 г","0,7 г"
"Большеголов атлантический, приготовленный на жару",105 кКал,0 г,"22,64 г","0,9 г"
Бульон рыбный,17 кКал,0 г,"2,26 г","0,81 г"
"Бычки в томатном соусе, консервы",145 кКал,"5,2 г","12,8 г","8,1 г"
Бычок-песочник,70 кКал,0 г,"15,8 г","0,8 г"
Вобла,95 кКал,0 г,18 г,"2,8 г"
Вобла каспийская вяленая,235 кКал,0 г,"46,4 г","5,5 г"
Вобла холодного копчения,181 кКал,0 г,"31,1 г","6,3 г"
"Галиотис, все виды, жареный",189 кКал,"11,05 г","19,63 г","6,78 г"
"Галиотис, все виды, сырой",105 кКал,"6,01 г","17,1 г","0,76 г"
"Галки из трески, по 1-388",87 кКал,"7,3 г",12 г,"1,1 г"
"Гирелла, черный каменный окунь, сырой, (Аляска)",82 кКал,0 г,"15,5 г","1,75 г"
Гладкоголов,49 кКал,0 г,8 г,"1,9 г"
Горбуша,140 кКал,0 г,"20,5 г","6,5 г"
Горбуша в томатном соусе. Консервы,130 кКал,"4,1 г",15 г,6 г
Горбуша натуральная. Консервы,136 кКал,0 г,"20,9 г","5,8 г"
"Горбуша отварная, по 1-342",152 кКал,0 г,"21,8 г","7,3 г"
Горбуша соленая,169 кКал,0 г,"22,1 г",9 г
"Горбуша, консервированная без соли, с маринадом и костями",139 кКал,0 г,"19,78 г","6,05 г"
"Горбуша, консервированная, содержимое без жидкости",138 кКал,0 г,"23,1 г","5,02 г"
"Горбуша, консервированная, содержимое без жидкости, без кожи и костей",136 кКал,0 г,"24,62 г","4,21 г"
"Горбуша, приготовленная на жару",153 кКал,0 г,"24,58 г","5,28 г"
"Горбуша, с костями, консервированная",129 кКал,0 г,"19,68 г","4,97 г"
"Горбуша, сырая",127 кКал,0 г,"20,5 г","4,4 г"
"Горбыль волнистый, жареный в панировке",221 кКал,"7,14 г","18,2 г","12,67 г"
"Горбыль волнистый, сырой",104 кКал,0 г,"17,78 г","3,17 г"
"Горбыль, приготовленный на жару",153 кКал,0 г,"22,49 г","6,32 г"
"Горбыль, сырой",119 кКал,0 г,"17,54 г","4,93 г"
Гребешок,69 кКал,"3,18 г","12,06 г","0,49 г"
"Гребешок, искусственный из сурими",99 кКал,"10,62 г","12,77 г","0,41 г"
"Гребешок, обжаренный в панировке",216 кКал,"10,13 г","18,07 г","10,94 г"
"Гребешок, приготовленный на пару",111 кКал,"5,41 г","20,54 г","0,84 г"
"Групер, все виды, приготовленный на жару",118 кКал,0 г,"24,84 г","1,3 г"
"Групер, все виды, сырой",92 кКал,0 г,"19,38 г","1,02 г"
Джакас,120 кКал,0 г,"20,3 г","4,3 г"
"Дночерпатель,все виды, приготовленный на жару",128 кКал,0 г,"26,3 г","1,72 г"
"Дночерпатель,все виды, сырой",100 кКал,0 г,"20,51 г","1,34 г"
Дрепана,88 кКал,0 г,"19,4 г","1,1 г"
Ерш морской дальневосточный,150 кКал,0 г,"16,6 г","9,3 г"
Желтоперка,108 кКал,0 г,"17,9 г",4 г
Жерех,99 кКал,0 г,"18,8 г","2,6 г"
"Жир тюленя, (Ларга, или пестрая нерпа), (Аляска)",894 кКал,0 г,0 г,"99,32 г"
Зеленоглазка,117 кКал,0 г,"19,6 г","4,3 г"
"Зразы из судака, по 1-382",164 кКал,"12,1 г","12,1 г","7,4 г"
"Зразы из хека, по 1-374",140 кКал,"9,3 г","13,1 г","5,6 г"
Зубан,132 кКал,0 г,"18,8 г","6,3 г"
Зубатка атлантическая,96 кКал,0 г,"17,5 г","2,39 г"
"Зубатка атлантическая, приготовленная на жару",123 кКал,0 г,"22,44 г","3,06 г"
"Зубатка жареная, по 1-364",209 кКал,"4,1 г","22,2 г","11,5 г"
"Зубатка запеченная в сметанном соусе, по 1-376",137 кКал,"6,8 г","7,4 г","8,8 г"
"Зубатка отварная, по 1-342",122 кКал,0 г,19 г,"5,1 г"
Зубатка пестрая,126 кКал,0 г,"19,6 г","5,3 г"
Зубатка полосатая,109 кКал,0 г,16 г,5 г
"Икра белужья зернистая, соленая",235 кКал,"0,8 г","26,8 г","13,8 г"
"Икра вобельная пробойная, соленая",142 кКал,0 г,"23,9 г","5,1 г"
"Икра вобельная ястычная (тарама), соленая",151 кКал,0 г,"24,9 г","5,7 г"
"Икра горбуши зернистая, соленая",230 кКал,1 г,"30,6 г","11,5 г"
"Икра кеты зернистая, соленая",249 кКал,1 г,"31,5 г","13,2 г"
"Икра лещевая пробойная, соленая",142 кКал,0 г,"24,7 г","4,8 г"
"Икра лобанья вяленая, соленая",505 кКал,0 г,"34,4 г","40,8 г"
"Икра минтая пробойная, соленая",132 кКал,"1,1 г","27,9 г","1,8 г"
"Икра осетровая зернистая, соленая",200 кКал,"0,6 г","28,4 г","9,3 г"
"Икра осетровая паюсная, соленая",289 кКал,"1,5 г","38,2 г","14,5 г"
"Икра сазанья пробойная, соленая",123 кКал,0 г,"25,1 г","2,5 г"
"Икра севрюги зернистая, соленая",221 кКал,"0,7 г","28,2 г","11,7 г"
"Икра сельди тихоокеанской, свежая",74 кКал,"4,47 г","9,6 г","1,93 г"
"Икра сельди тихоокеанской, сухая",312 кКал,"2,8 г","60,4 г","6,6 г"
"Икра сиговых рыб, свежая",104 кКал,"4,89 г","14,66 г","2,88 г"
"Икра, черная и красная, зернистая, соленая",264 кКал,4 г,"24,6 г","17,9 г"
Кабан-рыба,220 кКал,0 г,"14,1 г","18,2 г"
Кальмар,100 кКал,2 г,18 г,"2,2 г"
"Кальмар, все виды, жареный",175 кКал,"7,79 г","17,94 г","7,48 г"
"Кальмар, все виды, сырой",92 кКал,"3,08 г","15,58 г","1,38 г"
"Камбала (морская и речная), приготовленная на жару",86 кКал,0 г,"15,24 г","2,37 г"
"Камбала (морская и речная), сырая",70 кКал,0 г,"12,41 г","1,93 г"
"Камбала в томатном соусе, консервы",125 кКал,"6,3 г","12,6 г","5,4 г"
Камбала дальневосточная,90 кКал,0 г,"15,7 г",3 г
