Продукт,Калорийность,Углеводы,Белки,Жиры
"M&M MARS, KUDOS Цельнозерные батончики, арахисовое масло",463 кКал,"62,09 г","5,88 г","20,78 г"
"M&M MARS, KUDOS Цельнозерный батончик, M&M's молочный шоколад",415 кКал,"70,61 г","3,78 г","11,95 г"
Батончик со злаками и молоком,413 кКал,"71,65 г","6,47 г","10,98 г"
Воздушная кукуруза,354 кКал,"76,5 г","9,4 г","3,3 г"
Воздушная пшеница,354 кКал,"77,5 г","11,9 г","1,7 г"
Воздушный рис,349 кКал,"85,7 г","6,2 г","0,3 г"
"Говяжьи палочки, копченые",550 кКал,"5,4 г","21,5 г","49,6 г"
"Закуски, банановые чипсы",519 кКал,"50,7 г","2,3 г","33,6 г"
"Закуски, кукурузное пирожное, Na 488 мг",387 кКал,"81,5 г","8,1 г","2,4 г"
"Закуски, кукурузное пирожное, очень низкое содержание натрия, Na 28 мг",387 кКал,"83,4 г","8,1 г","2,4 г"
Картофельные палочки,522 кКал,"49,9 г","6,7 г","34,4 г"
"Картофельные чипсы, из сухого картофеля, обезжиренного, с доб. олестры (синтетический заменитель жира)",253 кКал,"48,7 г","5,06 г","0,93 г"
"Картофельные чипсы, из сухого картофеля, со вкусом сметаны и лука",547 кКал,"50,1 г","6,6 г",37 г
"Картофельные чипсы, из сухого картофеля, со вкусом сыра",551 кКал,"47,2 г",7 г,37 г
"Картофельные чипсы, обезжиренные, с доб. олестры (синтетический заменитель жира)",274 кКал,"58,2 г","7,74 г","0,7 г"
"Картофельные чипсы, обезжиренные, с солью",379 кКал,"76,26 г","9,64 г","0,6 г"
"Картофельные чипсы, обычные, на частично гидрогенизированном соевом масле, несоленые",536 кКал,"48,1 г",7 г,"34,6 г"
"Картофельные чипсы, обычные, на частично гидрогенизированном соевом масле, соленые",536 кКал,"48,1 г",7 г,"34,6 г"
"Картофельные чипсы, обычные, несоленые",536 кКал,"48,1 г",7 г,"34,6 г"
"Картофельные чипсы, обычные, соленые",532 кКал,"50,73 г","6,39 г","33,98 г"
"Картофельные чипсы, с пониж. содерж. жира, 20.8%",471 кКал,61 г,"7,1 г","20,8 г"
"Картофельные чипсы, с солью, с пониж. содерж. жира, 20.8%",487 кКал,"61,7 г","7,1 г","20,8 г"
"Картофельные чипсы, со вкусом барбекю",487 кКал,"52,12 г","6,51 г","31,06 г"
"Картофельные чипсы, со вкусом сметаны и лука",531 кКал,"46,3 г","8,1 г","33,9 г"
"Картофельные чипсы, со вкусом сыра",496 кКал,"52,5 г","8,5 г","27,2 г"
"Крендельки, мягкие, не соленые",345 кКал,"69,34 г","8,2 г","3,1 г"
Кукурузные палочки,359 кКал,81 г,"10,3 г","1,6 г"
Кукурузные хлопья,347 кКал,"73,3 г","15,1 г","1,3 г"
Кукурузные чипсы,539 кКал,"53,27 г","6,17 г","33,36 г"
"Кукурузные чипсы, несоленые",557 кКал,53 г,"6,6 г","33,4 г"
"Кукурузные чипсы, со вкусом барбекю",523 кКал,51 г,7 г,"32,7 г"
"Кукурузные чипсы, со вкусом барбекю, из обогащенной муки маса",523 кКал,"56,2 г",7 г,"32,7 г"
"Попкорн, маложирный, 9.5% жира, приготовленный в микроволновке",424 кКал,"57,8 г","12,6 г","9,5 г"
"Попкорн, маложирный, 9.5% жира, с низким содерж. натрия, приготовленный в микроволновке",429 кКал,"59,19 г","12,6 г","9,5 г"
"Попкорн, приготовленный горячим воздухом",387 кКал,"63,28 г","12,94 г","4,54 г"
"Попкорн, приготовленный горячим воздухом, белый",382 кКал,"62,8 г",12 г,"4,2 г"
"Попкорн, приготовленный с использованием масла, в микроволновке",583 кКал,"36,96 г","7,29 г","43,55 г"
"Попкорн, приготовленный с использованием масла, несоленый",500 кКал,"48,1 г",9 г,"28,1 г"
"Попкорн, приготовленный с использованием масла, с солью",500 кКал,"47,2 г",9 г,"28,1 г"
"Попкорн, с карамелью, без орехов",431 кКал,"73,9 г","3,8 г","12,8 г"
"Попкорн, с карамелью, нежирный, 1.4% жира",381 кКал,"87,56 г",2 г,"1,4 г"
"Попкорн, с карамелью, с орехами",400 кКал,"76,9 г","6,4 г","7,8 г"
"Попкорн, с пальмовым маслом, приготовленный в микроволновке",535 кКал,"47,26 г","8,38 г","30,22 г"
"Попкорн, со вкусом сыра",526 кКал,"41,7 г","9,3 г","33,2 г"
Пшеничные хлопья,337 кКал,"73,5 г","12,3 г","1,4 г"
Рисово-пшеничный батончик,409 кКал,"70,93 г","9,09 г","9,09 г"
"Соевые чипсы, соленые",385 кКал,"49,65 г","26,5 г","7,35 г"
Хрустящий картофель,543 кКал,"48,1 г","3,4 г","38,8 г"
Чипсы из батата,532 кКал,"48,02 г","2,94 г","32,35 г"
Шоколадный батончик POWER BAR,363 кКал,"63,93 г","14,15 г","3,11 г"
