Продукт,Калорийность,Углеводы,Белки,Жиры
"LOMA LINDA Большие сосиски, низкожирные, консервированные, неприготовленные",154 кКал,"4,9 г","23,1 г","4,7 г"
"MORI-NU, Тофу, мягкий, шелковый",55 кКал,"2,9 г","4,8 г","2,7 г"
"MORI-NU, Тофу, твердый, шелковый",62 кКал,"2,4 г","6,9 г","2,7 г"
"MORI-NU, Тофу, экстра твердый, шелковый",55 кКал,2 г,"7,4 г","1,9 г"
Арахис,552 кКал,"9,9 г","26,3 г","45,2 г"
Арахис,567 кКал,"7,63 г","25,8 г","49,24 г"
Арахис валенсия,570 кКал,"12,21 г","25,09 г","47,58 г"
"Арахис валенсия жаренный на масле, без соли",589 кКал,"7,4 г","27,04 г","51,24 г"
"Арахис валенсия жареный на масле, с солью",589 кКал,"7,4 г","27,04 г","51,24 г"
"Арахис вареный, с солью",318 кКал,"12,46 г","13,5 г","22,01 г"
Арахис вирджиния,563 кКал,"8,04 г","25,19 г","48,75 г"
"Арахис вирджиния жареный на масле, без соли",578 кКал,"10,96 г","25,87 г","48,62 г"
"Арахис вирджиния, жареный на масле, с солью",578 кКал,"10,96 г","25,87 г","48,62 г"
Арахис жареный,626 кКал,"13,4 г",26 г,52 г
"Арахис жареный без масла, без соли",587 кКал,"12,86 г","24,35 г","49,66 г"
"Арахис жареный без масла, с солью",587 кКал,"12,86 г","24,35 г","49,66 г"
"Арахис жареный на масле, без соли",599 кКал,"5,86 г","28,03 г","52,5 г"
"Арахис жареный на масле, с солью",599 кКал,"5,86 г","28,03 г","52,5 г"
Арахис испанский,570 кКал,"6,33 г","26,15 г","49,6 г"
"Арахис испанский, жареный на масле, без соли",579 кКал,"8,55 г","28,01 г","49,04 г"
"Арахис испанский, жареный на масле, с солью",579 кКал,"8,55 г","28,01 г","49,04 г"
Арахисовая мука обезжиренная,327 кКал,"18,9 г","52,2 г","0,55 г"
Арахисовая мука с низким содерж. жира,428 кКал,"15,47 г","33,8 г","21,9 г"
Арахисовая паста без соли,598 кКал,"17,31 г","22,21 г","51,36 г"
Арахисовая паста обогащенная витаминами и минералами,591 кКал,"13,15 г","25,72 г","50,81 г"
"Арахисовая паста с кусочками орехов, без соли",589 кКал,"13,57 г","24,06 г","49,94 г"
"Арахисовая паста с кусочками орехов, обогащенное витаминами и минералами",593 кКал,"11,99 г","26,06 г","51,47 г"
"Арахисовая паста с кусочками орехов, с солью",589 кКал,"13,57 г","24,06 г","49,94 г"
Арахисовая паста с омега-3,608 кКал,"10,9 г","24,47 г","54,17 г"
"Арахисовая паста с пониж. содерж. жира, 34%",520 кКал,"30,45 г","25,9 г",34 г
Арахисовая паста с пониженным содерж. натрия,590 кКал,"15,23 г",24 г,"49,9 г"
Арахисовая паста с солью,598 кКал,"17,31 г","22,21 г","51,36 г"
"Арахисовая паста, стандарт США",588 кКал,"18,28 г","21,93 г","49,54 г"
"Арахисовое масло, паста-спред, с пониженным содерж. сахара",650 кКал,"6,43 г","24,8 г","54,89 г"
"Бекон, из заменителя мяса (из бобовых)",309 кКал,"2,71 г","11,69 г","29,52 г"
Боб садовый (конский) незрелый,72 кКал,"7,5 г","5,6 г","0,6 г"
