Продукт,Калорийность,Углеводы,Белки,Жиры
Аджика,"59,3 кКал","5,8 г",1 г,"3,7 г"
"Анис, семена",337 кКал,"35,42 г","17,6 г","15,9 г"
"Базилик, свежий",23 кКал,"1,05 г","3,15 г","0,64 г"
"Базилик, сушеный",233 кКал,"10,05 г","22,98 г","4,07 г"
Ванилин,351 кКал,"87,6 г","0,1 г","0,1 г"
Ванильный экстракт,288 кКал,"12,65 г","0,06 г","0,06 г"
"Ванильный экстракт, искуственный, без алкоголя",56 кКал,"14,4 г","0,03 г",0 г
"Ванильный экстракт, искуственный, с алкоголем",237 кКал,"2,41 г","0,05 г",0 г
Васаби,292 кКал,"40,03 г","2,23 г","10,9 г"
"Гвоздика, молотая",274 кКал,"31,63 г","5,97 г",13 г
"Горчица желтая, приготовленная",60 кКал,"1,83 г","3,74 г","3,34 г"
"Горчица желтая, семена",508 кКал,"15,89 г","26,08 г","36,24 г"
"Горчица сарептская, соленая",28 кКал,"2,53 г","1,1 г","0,1 г"
Горчица столовая,143 кКал,"12,7 г","9,9 г","5,3 г"
Дрожжевой экстракт,185 кКал,"13,92 г","23,88 г","0,9 г"
"Заменитель майонеза, молочные сливки",97 кКал,"11,1 г","2,1 г","5,1 г"
"Заменитель майонеза, соевый",232 кКал,16 г,"0,3 г","19,2 г"
"Заменитель майонеза, соевый без холестерина",482 кКал,"15,8 г","0,1 г","47,7 г"
Заправка для салата Зеленая богиня,427 кКал,"7,26 г","1,9 г","43,33 г"
Заправка для салата из шинкованной капусты,404 кКал,"22,4 г","0,85 г","34,53 г"
"Заправка для салата из шинкованной капусты, обезжиренная",329 кКал,"39,6 г",0 г,20 г
"Заправка для салата итальянская, без соли, покупная",292 кКал,"10,43 г","0,38 г","28,37 г"
"Заправка для салата итальянская, низкокалорийная",200 кКал,"6,5 г","0,3 г",20 г
"Заправка для салата итальянская, обезжиренная",102 кКал,"9,99 г","0,39 г","6,68 г"
"Заправка для салата итальянская, обезжиренная",47 кКал,"8,15 г","0,97 г","0,87 г"
"Заправка для салата итальянская, обезжиренная, без соли",76 кКал,"4,57 г","0,47 г","6,38 г"
"Заправка для салата итальянская, покупная",240 кКал,"12,12 г","0,41 г","21,12 г"
Заправка для салата кунжутная,443 кКал,"7,6 г","3,1 г","45,2 г"
Заправка для салата с беконом и помидорами,326 кКал,"1,8 г","1,8 г",35 г
Заправка для салата с уксусом и маслом домашнего приготовления ,449 кКал,"2,5 г",0 г,"50,1 г"
"Заправка для салата Тысяча островов, обезжиренная",195 кКал,"22,86 г","0,83 г","11,32 г"
"Заправка для салата Тысяча островов, покупная",379 кКал,"13,84 г","1,09 г","35,06 г"
"Заправка для салата французская, обезжиренная",132 кКал,"29,94 г","0,2 г","0,27 г"
"Заправка для салата французская, по домашнему рецепту",631 кКал,"3,4 г","0,1 г","70,2 г"
Заправка для салата Цезарь,542 кКал,"2,8 г","2,17 г","57,85 г"
"Заправка для салата Цезарь, низкокалорийная",110 кКал,"18,5 г","0,3 г","4,4 г"
"Заправка для салата Цезарь, обезжиренная",131 кКал,"30,53 г","1,47 г","0,23 г"
"Заправка для салата, медово-горчичная, низкокалорийная",207 кКал,"27,46 г","0,98 г",10 г
"Заправка для салата, обезжиренная, ""MIRACLE WHIP LIGHT"" компании KRAFT",84 кКал,"13,6 г","0,2 г","2,7 г"
"Заправка для салата, обезжиренный майонез ""Mayo"" компании KRAFT",64 кКал,"13,8 г","0,2 г",0 г
"Заправка для салата, пахта, легкая",202 кКал,"20,23 г","1,25 г","12,42 г"
"Заправка для салата, перечная, покупная",564 кКал,"3,5 г","1,2 г","61,4 г"
"Заправка для салата, Ранчо (фермерская), обезжиренная",119 кКал,"26,41 г","0,25 г","1,92 г"
"Заправка для салата, Ранчо (фермерская), обезжиренная",196 кКал,"20,23 г","1,25 г","12,42 г"
"Заправка для салата, Ранчо (фермерская), покупная",430 кКал,"5,9 г","1,32 г","44,54 г"
"Заправка для салата, русская",355 кКал,"31,2 г","0,69 г","26,18 г"
"Заправка для салата, русская, низкокалорийная",141 кКал,"27,3 г","0,5 г",4 г
"Заправка для салата, с голубым сыром или сыром рокфор, низкокалорийная",99 кКал,"2,9 г","5,1 г","7,2 г"
"Заправка для салата, с голубым сыром или сыром рокфор, низкокалорийная",86 кКал,"13,2 г","2,1 г","2,7 г"
"Заправка для салата, с голубым сыром или сыром рокфор, обезжиренная",115 кКал,"23,8 г","1,52 г","1,01 г"
"Заправка для салата, с голубым сыром или сыром рокфор, покупная",484 кКал,"4,37 г","1,37 г","51,1 г"
"Заправка для салата, с различными запахами в ассортименте, в спрее",165 кКал,"16,3 г","0,16 г","10,75 г"
"Заправка для салата, Тысяча островов, обезжиренная",132 кКал,"25,97 г","0,55 г","1,45 г"
