Продукт,Калорийность,Углеводы,Белки,Жиры
"CONTINENTAL MILLS, KRUSTEAZ Миндальная смесь с маком, с исскуственными ароматизаторами, сухая",418 кКал,"73,9 г","5,6 г","10,3 г"
"Английские маффины, из цельной пшеницы",203 кКал,"33,7 г","8,8 г","2,1 г"
"Английские маффины, обычные, необогащенные, без пропионата кальция (E282 - вызывает рак), (включая, на хлебной закваске)",235 кКал,"43,3 г","7,7 г","1,8 г"
"Английские маффины, обычные, необогащенные, с пропионатом кальция (E282 - вызывает рак), (включая, на хлебной закваске)",235 кКал,"43,3 г","7,7 г","1,8 г"
"Английские маффины, обычные, обогащенные, без пропионата кальция (E282 - вызывает рак), (включая, на хлебной закваске)",235 кКал,"43,3 г","7,7 г","1,8 г"
"Английские маффины, обычные, приготовленные в тостере, обогащенные, с пропионатом кальция (E282 - вызывает рак), (включая, на хлебной закваске)",270 кКал,"49,85 г","10,32 г","2,02 г"
"Английские маффины, пшеничные",223 кКал,"40,2 г","8,7 г",2 г
Баранки простые,311 кКал,"64,2 г","10,4 г","1,3 г"
Баранки сдобные,348 кКал,"60,4 г","8,3 г",8 г
Батон нарезной из муки 1 сорта (хлеб),259 кКал,"50,1 г","7,7 г",3 г
Батон нарезной из муки в/с (хлеб),262 кКал,"51,4 г","7,5 г","2,9 г"
Батон простой из муки 1 сорта (хлеб),238 кКал,"49,1 г",8 г,1 г
Белковый хлеб (с клейковиной),245 кКал,"40,8 г","12,1 г","2,2 г"
Белый хлеб низкокалорийный,207 кКал,"34,6 г","8,7 г","2,5 г"
"Бисквитный пирог, готовый",258 кКал,"56,3 г","5,9 г","0,8 г"
"Бисквитный пирог, приготовленный из сухой смеси",257 кКал,"58,5 г","6,1 г","0,3 г"
"Бисквиты из смеси злаков, замороженное тесто",263 кКал,"47,4 г","6,1 г","5,6 г"
"Бисквиты, простые или с обезжиренными сливками (пахтой),  приготовленный из сухой смеси",335 кКал,"46,6 г","7,3 г","12,1 г"
"Бисквиты, простые или с обезжиренными сливками (пахтой), готовые",338 кКал,"52,57 г","6,2 г","11,03 г"
"Бисквиты, простые или с обезжиренными сливками (пахтой), замороженное тесто, жирные",307 кКал,"45,62 г","6,66 г","10,58 г"
"Бисквиты, простые или с обезжиренными сливками (пахтой), замороженное тесто, жирные, испеченные",324 кКал,"46,25 г","6,79 г","11,22 г"
"Бисквиты, простые или с обезжиренными сливками (пахтой), замороженное тесто, маложирные",270 кКал,"41,7 г","6,7 г","7,83 г"
"Бисквиты, простые или с обезжиренными сливками (пахтой), замороженное тесто, маложирные, испеченный",319 кКал,"49,3 г","7,8 г","9,1 г"
"Бисквиты, простые или с обезжиренными сливками (пахтой), приготовленные по рецепту",353 кКал,"43,1 г",7 г,"16,3 г"
"Бисквиты, простые или с обезжиренными сливками (пахтой), сухая смесь",428 кКал,"61,3 г",8 г,"15,4 г"
"Блины, обычные, замороженные, готовые к выпечке (включая блины из пахты)",233 кКал,"36,75 г","5,23 г","6,83 г"
"Блины, обычные, замороженные, готовые к выпечке, разогретые в микроволновке (включая блины из пахты)",239 кКал,"40,83 г","5,88 г","4,73 г"
"Блины, по 2-174",189 кКал,"32,6 г","5,1 г","3,1 г"
"Бостонский пирог, готовый",252 кКал,"41,5 г","2,4 г","8,5 г"
Бублики простые,276 кКал,"57,1 г","9,1 г","1,1 г"
"Бублики, обычные, необогащенные, не содержат пропионат кальция (с луком, маком, кунжутом)",275 кКал,"51,1 г","10,5 г","1,6 г"
"Бублики, обычные, необогащенные, содержат пропионат кальция (с луком, маком, кунжутом)",275 кКал,"51,1 г","10,5 г","1,6 г"
"Бублики, обычные,обогащенные, не содержат пропионат кальция (с луком, маком, кунжутом)",275 кКал,"51,1 г","10,5 г","1,6 г"
"Бублики, украинские с маком",316 кКал,56 г,"8,1 г","6,2 г"
Булка с молочной сывороткой,260 кКал,"49,2 г","7,8 г",3 г
Булка черкизовская,286 кКал,"50,1 г","7,9 г","5,5 г"
Булка ярославская,294 кКал,"53,7 г","7,6 г","5,3 г"
Булки городские,265 кКал,"52,9 г","7,7 г","2,4 г"
Булочка калорийная,337 кКал,"53,8 г","7,6 г",10 г
Булочки молочные,257 кКал,"50,3 г","8,8 г","2,2 г"
Булочки сдобные,339 кКал,"55,5 г","7,9 г","9,4 г"
Булочки столичная с молочной сывороткой,269 кКал,"53,7 г","8,4 г","2,2 г"
Булочки столичные,269 кКал,"53,7 г","8,4 г","2,2 г"
"Вареники, по 2-174",172 кКал,"16,2 г",12 г,"6,4 г"
"Ватрушка, по 2-194",256 кКал,"37,5 г","11,9 г","6,4 г"
Ватрушки картофельные по 1-246,165 кКал,"17,7 г","6,2 г","7,6 г"
"Вафли, на пахте, замороженные, готовые к выпечке",273 кКал,"38,85 г","6,58 г","9,22 г"
"Вафли, на пахте, замороженные, готовые к выпечке, поджаренные в тостере",309 кКал,"45,79 г","7,42 г","9,49 г"
"Вафли, на пахте, замороженные, готовые к выпечке, разогретые в микроволновке",289 кКал,"41,76 г","6,92 г","9,4 г"
"Вафли, обычные, замороженные, готовые к выпечке",285 кКал,"40,78 г","6,47 г","9,7 г"
"Вафли, обычные, замороженные, готовые к употреблению, разогретые в микроволновке",298 кКал,"43,01 г","6,71 г","9,91 г"
"Вафли, обычные, приготовленные по рецепту",291 кКал,"32,9 г","7,9 г","14,1 г"
"Вафли, с шоколадной крошкой, замороженные, готовые к выпечке",297 кКал,"44,18 г","5,8 г","10,1 г"
"Галушки, по 1-126",106 кКал,"20,3 г","3,9 г",1 г
"Гренки, обычные",407 кКал,"68,4 г","11,9 г","6,6 г"
"Гренки, приправленные специями",465 кКал,"58,5 г","10,8 г","18,3 г"
"Жареный хлеб, приготовленный на сале (Апачи)",309 кКал,"44,31 г","8,38 г","10,14 г"
"Ирландский содовый хлеб, приготовленный по рецепту",290 кКал,"53,4 г","6,6 г",5 г
Исскуственная сухая смесь для черничных кексов,407 кКал,"77,45 г","4,7 г","8,7 г"
Итальянский хлеб,259 кКал,"46,01 г","9,49 г","2,73 г"
Клейковина сырая из муки 1 сорта,135 кКал,"7,4 г","26,2 г","0,3 г"
Кофейный пирог с сыром,339 кКал,"43,3 г",7 г,"15,2 г"
"Кофейный пирог, с корицей и крошкой, промышленного изготовления, необогащенный",418 кКал,"44,7 г","6,8 г","23,3 г"
"Кофейный пирог, с корицей и крошкой, промышленного изготовления, обогащенный",418 кКал,"44,7 г","6,8 г","23,3 г"
"Кофейный пирог, с корицей и крошкой, сухая смесь, подготовленный",318 кКал,"51,6 г","5,5 г","9,6 г"
"Кофейный пирог, с кремом и шоколадной глазурью",331 кКал,"51,8 г",5 г,"10,8 г"
"Кофейный пирог, фруктовый",311 кКал,49 г,"5,2 г","10,2 г"
Крекеры с отрубями,416 кКал,"63,2 г","9,2 г","14,1 г"
