Продукт,Калорийность,Углеводы,Белки,Жиры
"Заменитель яйца, жидкий или замороженный, обезжиренный",48 кКал,2 г,10 г,0 г
"Заменитель яйца, порошок",444 кКал,"21,8 г","55,5 г",13 г
Меланж,157 кКал,"0,7 г","12,7 г","11,5 г"
"Омлет из яичного порошка, по 1-316",200 кКал,"1,6 г","10,3 г",17 г
"Эгног (напиток из взбитых яиц с сахаром, ромом или вином)",88 кКал,"8,05 г","4,55 г","4,19 г"
"Яичница глазунья, по 1-312",243 кКал,"0,9 г","12,9 г","20,9 г"
Яичница-болтунья,149 кКал,"1,61 г","9,99 г","10,98 г"
"Яичница-болтунья, замороженная",131 кКал,"7,5 г","13,1 г","5,6 г"
Яичный белок куриный,48 кКал,1 г,"11,1 г","0,17 г"
Яичный белок куриный,52 кКал,"0,73 г","10,9 г","0,17 г"
"Яичный белок куриный, замороженный",48 кКал,"1,04 г","10,2 г",0 г
"Яичный белок куриный, сушеный",350 кКал,"1,2 г","82,4 г","1,8 г"
"Яичный белок куриный, сушеный",382 кКал,"7,8 г","81,1 г",0 г
"Яичный белок куриный, сушеный, в хлопьях, со сниженной глюкозой",351 кКал,"4,17 г","76,92 г","0,04 г"
"Яичный белок куриный, сушеный, порошок, со сниженной глюкозой",376 кКал,"4,47 г","82,4 г","0,04 г"
"Яичный белок куриный, сушеный, стабилизированный, со сниженной глюкозой",357 кКал,"4,51 г","84,08 г","0,32 г"
Яичный желток куриный,322 кКал,"3,59 г","15,86 г","26,54 г"
Яичный желток куриный,354 кКал,"3,59 г","16,2 г","31,2 г"
Яичный желток куриный замороженный,296 кКал,"0,81 г","15,53 г","25,6 г"
"Яичный желток куриный замороженный, подслащенный",307 кКал,"10,95 г","13,87 г","22,82 г"
"Яичный желток куриный, замороженный, подсоленый",275 кКал,"1,77 г","14,07 г","22,93 г"
"Яичный желток куриный, сушеный",612 кКал,"4,7 г","31,1 г","52,2 г"
"Яичный желток куриный, сушеный",669 кКал,"0,66 г","33,63 г","59,13 г"
Яичный микс (удовлетворяющий стандартам министерства сельского хозяйства США),555 кКал,"23,97 г","35,6 г","34,5 г"
Яичный порошок,542 кКал,"4,5 г",46 г,"37,3 г"
Яйцо гусиное,185 кКал,"1,35 г","13,87 г","13,27 г"
Яйцо индюшиное,171 кКал,"1,15 г","13,68 г","11,88 г"
Яйцо куриное,143 кКал,"0,72 г","12,56 г","9,51 г"
Яйцо куриное,157 кКал,"0,7 г","12,7 г","11,5 г"
Яйцо куриное вареное вкрутую,"158,7 кКал","0,707 г","12,828 г","11,616 г"
Яйцо куриное вареное вкрутую,155 кКал,"1,12 г","12,58 г","10,61 г"
Яйцо куриное вареное всмятку,"158,7 кКал","0,707 г","12,828 г","11,616 г"
Яйцо куриное жареное,196 кКал,"0,83 г","13,61 г","14,84 г"
Яйцо куриное жареное (без масла),"174,6 кКал","0,805 г","14,598 г","12,557 г"
Яйцо куриное сушеное,592 кКал,"1,13 г","48,05 г","43,9 г"
"Яйцо куриное, замороженное",147 кКал,"1,01 г","12,33 г","9,95 г"
"Яйцо куриное, замороженное, подсоленное",138 кКал,"0,83 г","10,97 г","10,07 г"
"Яйцо куриное, омлет",154 кКал,"0,64 г","10,57 г","11,66 г"
"Яйцо куриное, пашот",143 кКал,"0,71 г","12,51 г","9,47 г"
"Яйцо куриное, сушеное, стабилизированное, обогащенное глюкозой",615 кКал,"2,38 г","48,17 г","43,95 г"
Яйцо перепелиное,158 кКал,"0,41 г","13,05 г","11,09 г"
Яйцо перепелиное,168 кКал,"0,6 г","11,9 г","13,1 г"
"Яйцо под майонезом, по 1-86",256 кКал,"4,7 г","4,1 г","24,5 г"
Яйцо утиное,185 кКал,"1,45 г","12,81 г","13,77 г"
