Продукт,Калорийность,Углеводы,Белки,Жиры
Абрикосовый джем,"209,5561 кКал","51,4907 г","0,4589 г","0,0551 г"
Варенье грушевое,"214,6 кКал","56,8 г","0,1 г","0,1 г"
Варенье из абрикосов по-венгерски,"241,5 кКал",64 г,"0,3 г","0,04 г"
Варенье из айвы,"221,8 кКал","58,7 г","0,1 г","0,1 г"
Варенье из арбузных корок,"219,9 кКал","58,4 г","0,2 г","0,03 г"
Варенье из барбариса,"203,7 кКал","54,3 г",0 г,0 г
Варенье из брусники,"160,8 кКал","41,9 г","0,4 г","0,3 г"
Варенье из брусники,"244,3 кКал","64,6 г","0,2 г","0,1 г"
Варенье из брусники и яблок,"247,1 кКал","65,4 г","0,2 г","0,1 г"
Варенье из брусники по-белорусски,"191,1 кКал","50,4 г","0,2 г","0,1 г"
Варенье из брусники с корицей и гвоздикой,"243,7 кКал","64,4 г","0,2 г","0,1 г"
Варенье из вишни без косточек,"219,4 кКал",58 г,"0,3 г","0,07 г"
Варенье из водяники,"217,8 кКал","57,9 г","0,06 г","0,05 г"
Варенье из голубики и малины,"229,1 кКал","60,5 г","0,2 г","0,1 г"
Варенье из жимолости,"218,2 кКал","58,2 г",0 г,0 г
Варенье из кишмиша,"295,9 кКал","78,9 г",0 г,0 г
Варенье из спелых абрикосов,"160,9 кКал","39,6 г","0,7 г","1,1 г"
Варенье из цедры,"174,3 кКал","45,9 г","0,4 г","0,04 г"
Джем грушевый,"211,7 кКал","55,9 г","0,2 г","0,2 г"
Джем из айвы,"222,8 кКал","58,9 г","0,2 г","0,1 г"
Джем из боярышника и яблок,"89,4 кКал","23,5 г","0,1 г","0,1 г"
Джем из черной бузины,189 кКал,"50,4 г",0 г,0 г
Засахаренный кишмиш протертый,"257,1 кКал","68,6 г",0 г,0 г
Облепиховое варенье,"164,6 кКал","34,4 г","0,7 г","3,7 г"
Повидло из абрикосов,"241,5 кКал",64 г,"0,3 г","0,04 г"
Повидло из айвы,216 кКал,"56,8 г","0,3 г","0,2 г"
Повидло из боярышника,"167,8 кКал","44,7 г",0 г,0 г
Пюре из черной бузины,"170,1 кКал","45,4 г",0 г,0 г
