Продукт,Калорийность,Углеводы,Белки,Жиры
Айвовый сок,51 кКал,"11,2 г","0,5 г","0,1 г"
"Ананасовый и апельсиновый сок напиток, консервированный",50 кКал,"11,7 г","1,3 г",0 г
"Ананасовый и грейпфрутовый сок-напиток, консервированный",47 кКал,"11,5 г","0,2 г","0,1 г"
"Апельсиновый и абрикосовый сок-напиток, консервированный",51 кКал,"12,6 г","0,3 г","0,1 г"
"Апельсиновый напиток, консервированный, с доб витамина C",49 кКал,"12,34 г",0 г,"0,07 г"
"Апельсиновый напиток, с соком и мякотью, замороженный концентрат, приготовленный на воде",45 кКал,"11,32 г","0,12 г",0 г
Апельсиновый сок-напиток,54 кКал,"13,21 г","0,2 г",0 г
Арзни,0 кКал,0 г,0 г,0 г
Боржоми,0 кКал,0 г,0 г,0 г
"Виноградный напиток, консервированный",61 кКал,"15,72 г",0 г,0 г
"Виноградный сок-напиток, консервированный",57 кКал,"14,45 г",0 г,0 г
Вода,0 кКал,0 г,0 г,0 г
"Вода ""Ливония"" (г. Владивосток)",0 кКал,0 г,0 г,0 г
"Вода ""Перье"" (PERRIER)",0 кКал,0 г,0 г,0 г
Вода водопроводная питьевая,0 кКал,0 г,0 г,0 г
"Вода водопроводная, городская",0 кКал,0 г,0 г,0 г
Вода колодезная (из подземного источника),0 кКал,0 г,0 г,0 г
"Вода, бутилированная, POLAND SPRING",0 кКал,0 г,0 г,0 г
"Вода, бутилированная, в общем",0 кКал,0 г,0 г,0 г
"Вода, бутилированная, негазированная, CALISTOGA",0 кКал,0 г,0 г,0 г
"Вода, бутилированная, негазированная, CRYSTAL GEYSER",0 кКал,0 г,0 г,0 г
"Вода, бутилированная, негазированная, DANNON",0 кКал,0 г,0 г,0 г
"Вода, бутилированная, негазированная, DANNON Fluoride To Go",0 кКал,"0,03 г",0 г,0 г
"Вода, бутилированная, негазированная, DASANI",0 кКал,0 г,0 г,0 г
"Вода, бутилированная, негазированная, EVIAN",0 кКал,0 г,0 г,0 г
"Вода, бутилированная, негазированная, NAYA",0 кКал,0 г,0 г,0 г
"Вода, бутилированная, негазированная, PEPSI,(пепси), AQUAFINA",0 кКал,0 г,0 г,0 г
"Вода, бутилированная, Перье, PERRIER",0 кКал,0 г,0 г,0 г
"Вода, негазированная, бутылированная, с натуральным фруктовым вкусом, с низкокалорийным подсластителем",1 кКал,"0,13 г",0 г,0 г
"Вода, с доб. витаминов и минералов, бутилированная, подслащенная, со вкусом фруктового ассорти",22 кКал,"5,49 г",0 г,0 г
"Вода, с кукурузным сиропом и/или сахаром и низкокалорийным подсластителем, с фруктовым вкусом",18 кКал,"4,5 г",0 г,0 г
"Газированный напиток, апельсиновый",48 кКал,"12,3 г",0 г,0 г
"Газированный напиток, виноградная сода",43 кКал,"11,2 г",0 г,0 г
"Газированный напиток, Имбирный эль",34 кКал,"8,76 г",0 г,0 г
"Газированный напиток, кола, без кофеина",41 кКал,"10,58 г",0 г,0 г
"Газированный напиток, кола, с высоким содерж. кофеина",42 кКал,"10,36 г",0 г,"0,25 г"
"Газированный напиток, кола, с кофеином",37 кКал,"9,56 г","0,07 г","0,02 г"
"Газированный напиток, Корневое пиво, Саспарилла",41 кКал,"10,6 г",0 г,0 г
"Газированный напиток, крем-сода",51 кКал,"13,3 г",0 г,0 г
"Газированный напиток, лимон-лайм сода, с кофеином",41 кКал,"10,42 г","0,09 г",0 г
"Газированный напиток, низкокалорийный, исключая кола или пеппер, без кофеина",0 кКал,0 г,"0,1 г",0 г
"Газированный напиток, низкокалорийный, исключая кола или пеппер, с добавками: аспартам, с кофеином",0 кКал,0 г,"0,1 г",0 г
"Газированный напиток, низкокалорийный, исключая кола или пеппер, с натриевым сахарином, без кофеина",0 кКал,"0,1 г",0 г,0 г
"Газированный напиток, низкокалорийный, кола или пеппер, с добавками: аспартам, без кофеина",1 кКал,"0,12 г","0,12 г",0 г
"Газированный напиток, низкокалорийный, кола или пеппер, с добавками: аспартам, с кофеином",2 кКал,"0,29 г","0,11 г","0,03 г"
"Газированный напиток, низкокалорийный, кола или пеппер, с натриевым сахарином, с кофеином",0 кКал,"0,1 г",0 г,0 г
"Газированный напиток, пеппер, с кофеином",41 кКал,"10,4 г",0 г,"0,1 г"
"Газированный напиток, с уменьшенным содерж. сахара, кола, с кофеином и подсластителями",20 кКал,"5,16 г",0 г,0 г
"Газированный напиток, сода со вкусом шоколада",42 кКал,"10,7 г",0 г,0 г
"Газированный напиток, содовая вода",0 кКал,0 г,0 г,0 г
"Газированный напиток, СПРАЙТ, с лимонно-лаймовым вкусом, без кофеина",40 кКал,"10,14 г","0,05 г","0,02 г"
"Газированный напиток, тоник",34 кКал,"8,8 г",0 г,0 г
Ессентуки №4,0 кКал,0 г,0 г,0 г
"Заменитель кофе, напиток из злаков, порошок",360 кКал,"55,12 г","6,01 г","2,52 г"
"Заменитель кофе, напиток из злаков, порошок, приготовленный на воде",6 кКал,"0,9 г","0,1 г","0,04 г"
"Заменитель кофе, напиток из злаков, порошок, приготовленный на цельном молоке",65 кКал,"5,5 г","3,3 г","3,3 г"
"Какао смесь, без добавления сахара, порошок",377 кКал,"64,43 г","15,49 г",3 г
"Какао смесь, НЕСТЛЕ, Hot Cocoa Mix Rich Chocolate с Маршмэллоу",400 кКал,"71,3 г","2,8 г",15 г
"Какао смесь, НЕСТЛЕ, Rich Chocolate Hot Cocoa Mix",400 кКал,71 г,3 г,15 г
"Какао смесь, порошок",398 кКал,"80,03 г","6,67 г",4 г
"Какао смесь, порошок, приготовленный на воде",55 кКал,"11,04 г","0,92 г","0,55 г"
"Какао смесь, с аспартамом, низкокалорийный, порошок, с доб кальция фосфора, без доб натрия или витамина A",359 кКал,"56,9 г","25,1 г",3 г
"Какао смесь, с аспартамом, порошок, приготовленный на воде",29 кКал,"5,01 г","1,21 г","0,23 г"
Квас хлебный,27 кКал,"5,2 г","0,2 г",0 г
Кисель из вишневого сока по 2-132,78 кКал,"18,9 г","0,2 г",0 г
Кисель из клюквы по 2-126,53 кКал,13 г,0 г,0 г
Кисель из кураги по 2-130,54 кКал,"12,9 г","0,4 г",0 г
Кисель из сливового варенья по 2-134,63 кКал,"15,5 г","0,1 г",0 г
Кисель из сушеных яблок по 2-130,66 кКал,"16,3 г","0,1 г",0 г
Кисель из яблок по 2-128,97 кКал,"23,7 г","0,1 г","0,1 г"
"Клюквенно-абрикосовый сок-напиток, бутилированный",64 кКал,"16,1 г","0,2 г",0 г
"Клюквенно-виноградный сок-напиток, бутилированный",56 кКал,"13,9 г","0,2 г","0,1 г"
"Клюквенно-яблочный сок-напиток, бутилированный",63 кКал,"15,85 г",0 г,"0,11 г"
"Клюквенно-яблочный сок-напиток, низкокалорийный, с доб. витамина C",19 кКал,"4,6 г","0,1 г",0 г
"Клюквенный сок-коктейль, бутилированный",54 кКал,"13,52 г",0 г,"0,1 г"
"Клюквенный сок-коктейль, бутилированный, низкокалорийный, с кальцием, сахарином и кукурузным подсластителем",19 кКал,"4,6 г","0,02 г","0,01 г"
"Клюквенный сок-коктейль, замороженный концентрат",201 кКал,"51,25 г","0,05 г",0 г
"Клюквенный сок-коктейль, замороженный концентрат, приготовленный на воде",47 кКал,"11,81 г","0,01 г",0 г
"Коктейль микс, без доб сахара, концентрированный, замороженный",287 кКал,"71,6 г","0,08 г","0,01 г"
"Коктейль, виски сауэр, микс, бутилированный",87 кКал,"21,4 г","0,1 г","0,1 г"
"Коктейль, виски сауэр, микс, порошок",383 кКал,"97,3 г","0,6 г","0,1 г"
"Коктейль, виски сауэр, микс,, бутилированный, с доб. калия и натрия",84 кКал,"21,4 г","0,1 г","0,1 г"
