Продукт,Калорийность,Углеводы,Белки,Жиры
Абрикосовое суфле,"116,2208 кКал","23,1126 г","5,6456 г","0,0347 г"
Апельсиновые корзиночки с кремом,"118,9 кКал","9,2 г","3,1 г",8 г
Апельсиновый десерт,"56,7 кКал",14 г,"0,7 г","0,2 г"
Апельсины в ванильном соусе,"68,7 кКал","11,6 г","2,4 г","1,7 г"
Безе,"234,4 кКал","61,4 г",1 г,0 г
Безе,"304,8 кКал","78,8 г","2,3 г",0 г
Бисквит из яичных белков,"319,2 кКал","43,7 г","11,1 г","12,3 г"
Блинчики из овсяных хлопьев,"170,1 кКал","17,7 г","5,2 г","9,2 г"
Блинчики с маком,"214,3 кКал","23,7 г","7,4 г","10,6 г"
Блинчики с морковью,"105,4 кКал",11 г,"4,2 г","5,3 г"
"Блинчики с мясным, ливерным, творожным, яблочным фаршем, джемом, повидлом или вареньем","278,3 кКал","16,1 г","13,7 г","18,1 г"
Блинчики-полуфабрикат (оболочка),153 кКал,"22,6 г","6,4 г","4,8 г"
Блины,"232,5 кКал",26 г,"6,1 г","12,3 г"
Блины гречневые,"229,1 кКал","22,3 г","6,8 г","13,1 г"
Блины гурьевские,"178,6 кКал","19,9 г","6,5 г","8,6 г"
Блины дехканские,"210,2 кКал","45,8 г",7 г,"1,1 г"
Блины из вареного картофеля,"189,3 кКал","17,6 г",4 г,"11,9 г"
Блины из капусты,"154,4 кКал","7,7 г",4 г,"12,2 г"
Блины из тыквы,"138,3 кКал","14,3 г","2,6 г","8,3 г"
Блины красные,"174,7 кКал","10,3 г","4,5 г","13,1 г"
Блины кукурузные (чечено-ингушское национальное блюдо),221 кКал,24 г,"6,1 г","11,8 г"
Блины с квашенной капустой,"106,6 кКал","16,8 г","3,4 г","3,3 г"
Блины славянские,218 кКал,"27,2 г","9,3 г","8,7 г"
Блины со сладким соусом по-староелецки,"291,7 кКал","21,1 г","6,6 г","20,7 г"
Блины-скородумки,"127,2 кКал","14,9 г","4,8 г","5,8 г"
Брусника свежая с сахаром,"146,9 кКал","37,8 г","0,5 г","0,3 г"
Ванильный крем,"190,6 кКал","15,2 г","4,5 г","12,8 г"
Ванильный соус,"72,1 кКал","8,8 г","3,5 г","2,8 г"
Вафли,"210,9 кКал","34,9 г","5,5 г","6,5 г"
Вафли на вафельнице,"319,3 кКал","35,5 г","4,8 г","18,6 г"
Взбитый лимонный соус,"112,4 кКал",25 г,2 г,"1,2 г"
Взбитый шоколадный соус,"114,7 кКал","14,3 г",5 г,"4,6 г"
Взбитый яблочный соус,"82,4 кКал","13,4 г","2,6 г","2,4 г"
Вишневый мусс,"150,7 кКал","33,7 г","5,9 г","0,1 г"
Галушки яблочные,"89,1 кКал","16,5 г","3,2 г","1,6 г"
"Груши, начиненные творогом","65,4 кКал","9,1 г","2,2 г","2,5 г"
Густой шоколадный соус,"316,6 кКал","39,1 г","2,1 г",18 г
"Десерт ""Птичье молоко""","288,9 кКал","38,5 г","5,1 г","13,8 г"
"Десерт из сметаны ""Радуга""","185,6 кКал",10 г,"3,9 г","14,7 г"
Десерт молочный (чувашское национальное блюдо),"222,4 кКал","40,7 г","5,1 г","5,5 г"
Желе из барбариса,"218,3 кКал","58,2 г",0 г,0 г
Желе из водяники,"67,4 кКал","15,1 г","2,6 г","0,01 г"
Желе из кишмиша,247 кКал,"65,9 г",0 г,0 г
"Желе из лимонов, апельсинов, мандаринов (лимон)","69,4 кКал","15,6 г","2,6 г","0,03 г"
Желе из молока,"192,1 кКал","17,9 г","6,3 г","11,1 г"
Желе из плодов или ягод свежих,"69,1 кКал","15,6 г","2,5 г","0,04 г"
Желе из сиропа плодового или ягодного,"10,5 кКал","0,02 г","2,6 г","0,01 г"
Желе из сливок,249 кКал,"30,9 г","6,4 г",12 г
"Желе из экстракта плодового или ягодного, или из сока плодового или ягодного натурального (сок)","82,3 кКал","18,9 г","2,7 г","0,1 г"
Желе лимонное,"87,6 кКал","20,3 г","2,8 г","0,02 г"
Желе мясное или рыбное,140 кКал,"0,6 г","21,7 г","5,7 г"
Желе с плодами свежими и консервированными,"53,7 кКал","11,7 г","2,1 г","0,1 г"
"Изюм или чернослив, или курага в медовом желе (башкирское национальное блюдо)","137,2 кКал","33,2 г","2,8 г","0,2 г"
Клубника с творогом,"77,6 кКал","11,1 г","6,5 г","1,1 г"
"Клубничный ""снег""","152,7 кКал","36,8 г","3,2 г","0,2 г"
Клубничный пудинг,"75,6 кКал","14,6 г",2 г,"1,4 г"
Клюквенный мусс,71 кКал,"17,5 г","1,2 г","0,08 г"
Клюквенный соус,"96,9 кКал","7,1 г","0,6 г","7,5 г"
"Коврижка ""Диетическая""","154,7 кКал","26,8 г",5 г,"3,8 г"
Козинаки,"419,4 кКал","61,8 г","2,4 г","19,8 г"
Кофейный крем,"181,2 кКал","18,3 г","5,5 г","10,1 г"
Крем ванильный из сметаны,200 кКал,"19,7 г","4,1 г","12,2 г"
"Крем ванильный, шоколадный, кофейный","174,2 кКал","16,2 г","4,5 г","10,6 г"
Крем из клубники,"73,4 кКал","11,8 г","2,9 г","1,9 г"
Крем из клюквы и тыквы,"178,7 кКал","27,6 г","3,8 г","6,7 г"
Крем из ревеня,"174,9 кКал","28,5 г","2,1 г","6,6 г"
Крем из ржаного хлеба,"154,5 кКал","23,1 г","4,1 г","5,7 г"
Крем из смородины,"176,4 кКал","35,6 г","3,6 г","3,1 г"
Крем из черники,"119,1 кКал","19,6 г","5,7 г","2,5 г"
Крем твороженный,"135,8 кКал","24,8 г","3,8 г",3 г
Крем ягодный,"179,6 кКал","17,2 г","3,3 г","11,3 г"
Крем-крокант,"199,8 кКал","32,8 г","4,6 г","6,5 г"
Крем-мокко,"193,9 кКал","24,4 г","5,7 г","8,9 г"
Кулага,"92,7 кКал","22,1 г","1,4 г","0,4 г"
Лантутики,"227,9 кКал","22,7 г","8,4 г","12,1 г"
Лимонное пирожное,"219,9 кКал","23,8 г","5,3 г","12,2 г"
Лимонный крем,"177,4 кКал","15,8 г","6,5 г","10,2 г"
Лимонный снежок,"218,6 кКал","38,7 г","7,6 г","4,8 г"
Лимонный соус,"149,9 кКал","6,4 г","1,5 г","13,3 г"
Лимонный соус,"173,1 кКал","6,1 г","4,1 г","14,9 г"
Лимонный соус,56 кКал,"14,9 г","0,03 г","0,003 г"
Лимонный творог,"238,7 кКал","19,7 г","9,8 г","13,9 г"
"Малина или земляника с молоком, сметаной или сливками","78,9 кКал","14,6 г","1,8 г","1,9 г"
Мармелад из абрикосов,"198,9 кКал","52,4 г","0,5 г","0,05 г"
Мармелад из абрикосов в кожице,"183,6 кКал","48,3 г","0,5 г","0,06 г"
Мармелад из брусники и яблок,"112,7 кКал","28,7 г","0,5 г","0,3 г"
Мармелад из черники,"57,6 кКал",13 г,1 г,"0,6 г"
Медовая горка,"270,4 кКал","62,5 г","5,8 г","1,5 г"
"Мороженое ""Сюрприз""","194,3 кКал","32,7 г","3,6 г","6,3 г"
Мороженое с плодами или ягодами консервированными,"222,9 кКал","17,5 г","4,5 г","15,5 г"
Мусс из растворимого кофе,"104,3 кКал","19,9 г","4,1 г","1,5 г"
Мусс из ревеня,"87,6 кКал","22,2 г","0,9 г","0,07 г"
Мусс из ржаной муки,"94,9 кКал","24,1 г","0,9 г","0,1 г"
Мусс из смородины,"113,3 кКал","27,8 г","2,1 г","0,06 г"
Мусс из тыквы,"91,7 кКал","22,1 г","2,1 г","0,07 г"
Мусс клюквенный,"81,9 кКал","19,3 г","2,3 г","0,06 г"
Мусс лимонный,"115,1 кКал","28,1 г","2,4 г","0,03 г"
Мусс яблочный (на крупе манной),"81,1 кКал","20,3 г","0,9 г","0,2 г"
Оладьи,"201,1 кКал","24,5 г","7,4 г","8,9 г"
Оладьи,"322,2 кКал","42,7 г",10 г,"13,6 г"
Оладьи из моркови,"141,2 кКал",11 г,3 г,"9,8 г"
Оладьи из тыквы,"180,2 кКал","12,2 г","4,4 г",13 г
Оладьи с изюмом,"334,9 кКал","44,4 г","8,4 г",15 г
Оладьи с яблоками,"113,8 кКал","19,5 г","4,3 г","2,6 г"
Оладьи с яблоками,"306,2 кКал","39,8 г","9,2 г","13,3 г"
Омлет с  яблоками,"121,4 кКал","16,8 г","3,5 г","4,9 г"
Омлет с яблоками,"177,7 кКал","4,4 г","8,6 г","14,1 г"
Омлет с яблоками,86 кКал,"6,9 г","3,5 г","5,1 г"
Ореховый крем,"105,9 кКал","12,2 г","5,4 г","4,3 г"
Орешки творожные по-русски,"271,2 кКал","22,1 г","8,9 г",17 г
Пастила из ежевики,174 кКал,"44,8 г","0,8 г","0,3 г"
Пастила из калины,"197,5 кКал","52,7 г",0 г,0 г
"Пирожное ""Кокетка""","418,1 кКал",21 г,"18,7 г","29,4 г"
Плавающие острова,"94,9 кКал","13,8 г","3,8 г","3,1 г"
Пудинг из ревеня,187 кКал,"29,9 г","4,5 г","6,3 г"
Пудинг из риса и ревеня,155 кКал,"18,6 г","3,6 г","7,9 г"
Пудинг из сыра,"184,2 кКал","7,9 г",9 г,"13,2 г"
"Пудинг из творога, запеченный","312,5 кКал","24,3 г",11 г,"19,7 г"
Пудинг на сметане,"254,3 кКал","24,9 г","5,8 г","15,3 г"
Пудинг ореховый,"229,4 кКал","35,1 г","7,1 г","7,7 г"
"Пудинг рисовый, манный, пшенный","189,6 кКал","34,7 г","3,4 г","5,1 г"
Пудинг с грушами,"131,2 кКал","22,7 г","3,6 г","3,5 г"
Пудинг сливочный с орехами,"307,1 кКал","25,6 г","7,6 г",20 г
Пудинг сухарный,"213,3 кКал","37,8 г","6,4 г","5,1 г"
Ревень с сахаром,"99,6 кКал","25,8 г","0,5 г","0,08 г"
Ревень с сухарями и сливками,"100,4 кКал","9,8 г","1,4 г","6,5 г"
