Продукт,Калорийность,Углеводы,Белки,Жиры
Арбуз консервированный,"36,5 кКал",9 г,"0,5 г","0,09 г"
Брусника маринованная с яблоками,"53,3 кКал","13,2 г","0,3 г","0,3 г"
Брусника моченая,"23,6 кКал","5,3 г","0,3 г","0,2 г"
Засахаренный кишмиш,"224,6 кКал","59,9 г",0 г,0 г
Икра баклажанная,"74,3 кКал","6,5 г","1,9 г","4,7 г"
Икра кабачковая,"90,8 кКал","7,4 г","1,6 г","6,3 г"
Икра свекольная или морковная,"129,5 кКал","13,6 г","2,9 г","7,4 г"
Икра щучья,"87,1 кКал",0 г,"17,3 г",2 г
Капуста маринованная,47 кКал,"11,5 г","0,8 г","0,05 г"
Квашеная капуста,27 кКал,"5,2 г","1,6 г","0,1 г"
Маринованная капуста,"126,6 кКал","8,1 г","1,7 г",10 г
Маринованная морская капуста,"12,5 кКал","1,9 г","0,9 г","0,2 г"
Маринованная свекла,"41,6 кКал","9,1 г","1,6 г","0,1 г"
Маринованные стрелки чеснока,"29,7 кКал","7,1 г","0,7 г","0,03 г"
Маринованный крыжовник,0 кКал,0 г,0 г,0 г
Маринованный чеснок,"42,4 кКал","9,1 г","1,8 г","0,1 г"
Морковь по-корейски,"112,6 кКал",9 г,"1,2 г","8,2 г"
Морковь по-корейски,"232,5 кКал","4,8 г","0,9 г","23,5 г"
Пюре из боярышника,"29,9 кКал",8 г,0 г,0 г
Рольмопс,"149,6 кКал","3,8 г","7,8 г","11,6 г"
Слива маринованная,"63,9 кКал","16,5 г","0,3 г","0,1 г"
Соленые огурцы,"11,2 кКал","2,2 г","0,6 г","0,08 г"
Черника в собственном соку,"38,3 кКал","7,6 г","1,1 г","0,6 г"
