Продукт,Калорийность,Углеводы,Белки,Жиры
Гречневая каша рассыпчатая,"98,7 кКал","17,1 г","3,6 г","2,2 г"
"Каша ""Янтарная""(из пшена я яблоками)","138,9 кКал","17,5 г","3,8 г","6,5 г"
Каша боярская (из пшена с изюмом),"221,7 кКал","19,5 г","4,8 г","14,4 г"
Каша вязкая из пшена с тыквой,158 кКал,"18,5 г","4,2 г",8 г
Каша гурьевская,"151,2 кКал","22,6 г","4,4 г","5,4 г"
Каша из тыквы с манкой,"161,5 кКал","19,9 г","2,8 г","8,4 г"
Каша манная коричневая,"162,1 кКал","23,2 г","5,3 г",6 г
Каша пшенная с сушеными сливами,"121,3 кКал","22,7 г","2,4 г","2,9 г"
Каша рисовая с какао,"146,2 кКал","20,3 г","4,1 г",6 г
Манная каша на клюквенном соке,"112,7 кКал",17 г,"1,9 г","4,6 г"
Манная каша с морковью,"97,3 кКал","9,7 г","2,7 г","5,6 г"
Мучная каша,"95,3 кКал","10,2 г","3,4 г","4,9 г"
Рисовая каша с черносливом,"128,5 кКал","26,4 г","1,9 г","2,4 г"
Рисовая с абрикосами по-венгерски,"119,7 кКал","28,5 г","2,6 г","0,3 г"
Яблочно-манная каша,"128,4 кКал",22 г,"1,9 г","4,3 г"
Яичная каша (натуральная),"180,3 кКал","10,8 г","10,3 г",11 г
Яичная каша с овощами или грибами,261 кКал,"20,9 г","15,9 г","13,2 г"
Ячневая каша с картофелем,"48,6 кКал","8,7 г","1,8 г",1 г
