Продукт,Калорийность,Углеводы,Белки,Жиры
Абрикосовый газированный коктейль,"36,4 кКал","6,6 г",1 г,"0,8 г"
Абрикосовый гоголь-моголь,"85,5 кКал","12,9 г","3,1 г","2,8 г"
Абрикосовый десертный напиток,"86,1 кКал","22,5 г","0,3 г","0,04 г"
Абрикосовый коктейль с поплавком,"70,8 кКал","9,4 г","2,7 г","2,7 г"
Апельсиновое молоко,"78,2648 кКал","10,6881 г","3,0347 г","2,5187 г"
Апельсиновый компот,"57,2 кКал","14,9 г","0,3 г","0,05 г"
Бурятский чай,94 кКал,"2,1 г","0,7 г","9,3 г"
Горячий абрикосовый напиток,"53,7 кКал","5,6 г","2,3 г","2,6 г"
Какао с молоком,"102,8 кКал","17,2 г","2,9 г","2,9 г"
Какао с молоком сгущенным,"86,6 кКал",15 г,"2,2 г","2,4 г"
Квас из ревеня,34 кКал,"8,8 г","0,2 г","0,04 г"
Квас клюквенный,"40,4 кКал","10,6 г","0,1 г","0,03 г"
Квас по-тобольски,"35,8 кКал","8,6 г","0,6 г","0,1 г"
Квас хлебный из экстракта,"4,3 кКал","1,1 г","0,04 г","0,008 г"
Квас яблочный,"36,7 кКал","9,4 г","0,2 г","0,09 г"
Кефир с ревенем,55 кКал,"6,8 г","2,1 г","2,3 г"
"Кефир, ацидофилин, простокваша, ряженка","55,9 кКал","4,1 г","2,8 г","3,2 г"
Кисель апельсиновый,"97,8 кКал",18 г,"2,7 г","2,1 г"
Кисель брусничный,"75,2 кКал","19,9 г","0,07 г","0,05 г"
Кисель из абрикосов,"53,7 кКал","14,2 г","0,1 г","0,01 г"
Кисель из земляники,"51,1 кКал","13,5 г","0,08 г","0,04 г"
Кисель из клюквы (густой),"55,4 кКал","14,7 г","0,05 г","0,02 г"
Кисель из концентрата на плодовых или ягодных экстрактах,"26,3 кКал",7 г,0 г,0 г
Кисель из овсяных хлопьев,"130,6 кКал","12,6 г",4 г,"7,5 г"
Кисель из плодов и ягод свежих,"55,2 кКал","14,6 г","0,06 г","0,02 г"
Кисель из яблок (густой),"62,1 кКал","16,3 г","0,09 г","0,08 г"
Кисель молочный,"33,5 кКал","5,5 г","0,9 г",1 г
Кисель молочный (густой),"60,5 кКал","4,9 г",3 г,"3,3 г"
Кисель морковный,"49,3 кКал","12,8 г","0,3 г","0,02 г"
"Коктейль ""Юпитер""","82,5 кКал","8,1 г","2,5 г","4,7 г"
Коктейль молочный,"96,6 кКал","12,5 г","2,9 г","4,3 г"
