Продукт,Калорийность,Углеводы,Белки,Жиры
Aquarius [Coca-Cola],18 кКал,"4,4 г",0 г,0 г
Aquarius Lemon [Coca-Cola],14 кКал,"3,3 г",0 г,0 г
Cacaolat [Coca-Cola],40 кКал,"4,3 г","2,7 г","0,5 г"
Cherry (Банка) [Coca-Cola],150 кКал,42 г,0 г,0 г
Cherry [Coca-Cola],150 кКал,42 г,0 г,0 г
Cherry Zero [Coca-Cola],0 кКал,0 г,0 г,0 г
Cherry без Сахара [Coca-Cola],0 кКал,0 г,0 г,0 г
Coca-Cola,42 кКал,"10,6 г",0 г,0 г
Coca-Cola Cherry без Сахара,0 кКал,0 г,0 г,0 г
Coca-Cola Cinnamon,0 кКал,0 г,0 г,0 г
Coca-Cola Coffee,20 кКал,5 г,0 г,0 г
Coca-Cola Energy,42 кКал,"10,3 г",0 г,0 г
Coca-Cola Life,90 кКал,24 г,0 г,0 г
Coca-Cola Light,0 кКал,0 г,0 г,0 г
Coca-Cola Lime,43 кКал,"10,6 г",0 г,0 г
Coca-Cola Orange без Сахара,1 кКал,0 г,0 г,0 г
Coca-Cola Zero,0 кКал,0 г,0 г,0 г
Coca-Cola Лайм,43 кКал,"10,6 г",0 г,0 г
Energy без Сахара [Coca-Cola],1 кКал,0 г,0 г,0 г
Fanta Apple [Coca-Cola],51 кКал,"13,5 г",0 г,0 г
Plus Coffee [Coca-Cola],3 кКал,0 г,0 г,0 г
Signature Mixers Smoky [Coca-Cola],43 кКал,"10,6 г",0 г,0 г
Specialty [Coca-Cola],33 кКал,"8,2 г",0 г,0 г
Sprite [Coca-Cola],19 кКал,"4,5 г",0 г,0 г
Sprite Вкус Огурец [Coca-Cola],39 кКал,"9,7 г",0 г,0 г
Sprite со Вкусом Арбуз-Огурец [Coca-Cola],1 кКал,0 г,0 г,0 г
Vanilla [Coca-Cola],150 кКал,42 г,0 г,0 г
Vanilla [Coca-Cola],45 кКал,"11,2 г",0 г,0 г
Вода [Coca-Cola],0 кКал,0 г,0 г,0 г
Кока-Кола Ванилла [Coca-Cola],45 кКал,"11,2 г",0 г,0 г
Кока-Кола Зеро [Coca-Cola],0 кКал,0 г,0 г,0 г
Кола [Coca-Cola],42 кКал,"10,6 г",0 г,0 г
Кола Лайт [Coca-Cola],0 кКал,0 г,0 г,0 г
Напиток [Coca-Cola],42 кКал,"10,6 г",0 г,0 г
Энергетик [Coca-Cola],1 кКал,0 г,0 г,0 г
