Продукт,Калорийность,Углеводы,Белки,Жиры
"Азу из говядины, по 1-432",103 кКал,"10,2 г","6,3 г",4 г
"Антрекот из говядины, по 1-404",220 кКал,0 г,"29,6 г","11,2 г"
"Бедро, целиком, говядина, только мясо, обрезь до 1/4'' жира, отборная, жаренное на открытом огне",191 кКал,0 г,"29,21 г","7,31 г"
"Бедро, целиком, говядина, только мясо, обрезь до 1/4'' жира, первый сорт, жаренное на открытом огне",172 кКал,0 г,"29,25 г","5,22 г"
"Бефстроганов из говядины, по 1 -406",193 кКал,"5,9 г","16,7 г","11,3 г"
"Биточки из говядины с рисом, по 1 -446",144 кКал,"18,5 г",5 г,"5,5 г"
"Биточки паровые из говядины,  по 1-454",192 кКал,"9,1 г","14,5 г","10,8 г"
"Бифштекс из говядины с яйцом, по 1-402",275 кКал,"0,4 г","21,5 г","20,8 г"
"Бифштекс из говядины, по 1-400",216 кКал,0 г,"29,2 г","11,2 г"
"Бифштекс рубленый из говядины, по 1-438",306 кКал,0 г,"18,4 г","25,6 г"
Бульон говяжий,13 кКал,"1,2 г","1,97 г","0,09 г"
Вилочковая железа телячья,101 кКал,0 г,"17,21 г","3,07 г"
"Вилочковая железа телячья, тушеная",125 кКал,0 г,"22,67 г","3,11 г"
Вымя говяжье,173 кКал,0 г,"12,3 г","13,7 г"
"Говядина  отборная, вырезка, постное мясо, жареная на огне",206 кКал,0 г,"29,01 г","9,1 г"
"Говядина  отборная, вырезка, постное мясо, сырая",158 кКал,0 г,"22,17 г","7,07 г"
"Говядина  отборная, короткий филей,постное мясо, сырая",155 кКал,0 г,"22,78 г","6,43 г"
"Говядина  отборная, мякоть верхней части бедра, постное мясо, жареная на огне",193 кКал,0 г,"32,04 г","6,25 г"
"Говядина  отборная, мякоть верхней части бедра, постное мясо, сырая",140 кКал,0 г,"22,69 г","4,78 г"
"Говядина  отборная, плечевая мякоть, постное мясо , сырая",139 кКал,0 г,"21,96 г","5,05 г"
"Говядина  отборная, плечевая мякоть, постное мясо , тушеная",224 кКал,0 г,"34,72 г","8,37 г"
"Говядина  отборная, щуп, постное мясо, обжаренная",175 кКал,0 г,"29,87 г","5,3 г"
"Говядина  отборная, щуп, постное мясо, сырая",128 кКал,0 г,"22,88 г","3,38 г"
"Говядина  разных категорий, мякоть верхней части бедра, мясо с жиром убранным до уровня 0"", жареная",167 кКал,0 г,"29,96 г","4,28 г"
"Говядина  разных категорий, мякоть верхней части бедра, мясо с жиром убранным до уровня 1/8"", жареная",204 кКал,0 г,"30,67 г",9 г
"Говядина  разных категорий, мякоть верхней части бедра, мясо с жиром убранным до уровня 1/8"", сырая",166 кКал,0 г,"22,06 г","7,93 г"
"Говядина  разных категорий, мякоть верхней части бедра, мясо с жиром убранным до уровня 1/8"", тешеная",238 кКал,0 г,"34,34 г","10,13 г"
Говядина 1 кат.,218 кКал,0 г,"18,6 г",16 г
Говядина 2 кат.,168 кКал,0 г,20 г,"9,8 г"
"Говядина жареная, по 1-396",168 кКал,0 г,"28,4 г",6 г
"Говядина категории премиум, вырезка, мясо с жиром убранным до уровня 1/8"", жареная",308 кКал,0 г,"25,26 г","22,21 г"
"Говядина категории премиум, вырезка, мясо с жиром убранным до уровня 1/8"", обжаренная",343 кКал,0 г,"24,04 г","26,67 г"
"Говядина категории премиум, вырезка, мясо с жиром убранным до уровня 1/8"", сырая",274 кКал,0 г,"18,15 г","21,83 г"
"Говядина категории премиум, короткий филей, мясо с жиром убранным до уровня 1/8"", жареная",310 кКал,0 г,"25,92 г","22,12 г"
"Говядина категории премиум, короткий филей, мясо с жиром убранным до уровня 1/8"", сырая",281 кКал,0 г,19 г,"22,17 г"
"Говядина категории премиум, мякоть верхней части бедра, мясо с жиром убранным до уровня 1/8"", жареная",225 кКал,0 г,"31,27 г","10,1 г"
"Говядина категории премиум, мякоть верхней части бедра, мясо с жиром убранным до уровня 1/8"", сырая",173 кКал,0 г,"22,24 г","8,67 г"
"Говядина категории премиум, ребра толстый и тонкий края (ребра 6-12), мясо с жиром убранным до уровня1/8"", жареная",386 кКал,0 г,"21,95 г","32,38 г"
"Говядина категории премиум, ребра, толстый и тонкий края (ребра 6-12), мясо с жиром убранным до уровня1/8"", обжаренная",400 кКал,0 г,"22,57 г","33,7 г"
"Говядина категории премиум, ребра, толстый и тонкий края (ребра 6-12), мясо с жиром убранным до уровня1/8"", сырая",355 кКал,0 г,"16,15 г","31,66 г"
"Говядина категории премиум, ребра, толстый край (ребра 6-9), мясо с жиром убранным до уровня1/8"", жареная",404 кКал,0 г,"20,65 г","34,97 г"
"Говядина категории премиум, ребра, толстый край (ребра 6-9), мясо с жиром убранным до уровня1/8"", обжаренная",393 кКал,0 г,"22,86 г","32,74 г"
"Говядина категории премиум, ребра, толстый край (ребра 6-9), мясо с жиром убранным до уровня1/8"", сырая",367 кКал,0 г,"15,77 г","33,26 г"
