Продукт,Калорийность,Углеводы,Белки,Жиры
1 Кусок [Ростик'c - KFC],130 кКал,"7,5 г","9,8 г","6,8 г"
1 КУСОК КУРИЦЫ 1/53г (порция 53 гр) [Ростик'c - KFC],"130,2 кКал","7,5 г","9,8 г","6,8 г"
2 КУСКА КУРИЦЫ 2/53г (порция 106 гр) [Ростик'c - KFC],"260,3 кКал","14,9 г","19,6 г","13,6 г"
2 Стрипса Оригинальные [Ростик'c - KFC],162 кКал,"7,7 г","13,7 г","8,5 г"
2 СТРИПСА оригинальные 2/28г (порция 56 гр) [Ростик'c - KFC],"162,2 кКал","7,7 г","13,7 г","8,5 г"
2 Стрипса Острые [Ростик'c - KFC],137 кКал,"8,8 г","12,5 г","5,8 г"
2 Стрипса Острые [Ростик'c - KFC],245 кКал,"15,8 г","22,3 г","10,3 г"
2 СТРИПСА острые 2/28г (порция 56 гр) [Ростик'c - KFC],"137,3 кКал","8,8 г","12,5 г","5,8 г"
3 Крылышка [Ростик'c - KFC],254 кКал,"12,5 г","13,4 г","16,8 г"
3 КУСКА КУРИЦЫ 3/53г (порция 159 гр) [Ростик'c - KFC],"390,5 кКал","22,4 г","29,4 г","20,4 г"
3 Стрипса Оригинальные [Ростик'c - KFC],243 кКал,"11,5 г","20,6 г","12,8 г"
3 СТРИПСА оригинальные 3/28г (порция 84 гр) [Ростик'c - KFC],"243,3 кКал","11,5 г","20,6 г","12,8 г"
3 СТРИПСА острые 3/28г (порция 84 гр) [Ростик'c - KFC],"205,9 кКал","13,3 г","18,7 г","8,7 г"
3 Стрипса Острых [Ростик'c - KFC],240 кКал,"8,1 г","23,1 г","12,8 г"
5 За 200 [Ростик'c - KFC],690 кКал,81 г,20 г,119 г
5 За 300 [Ростик'c - KFC],796 кКал,99 г,"25,5 г",142 г
5 Крыльев [Ростик'c - KFC],424 кКал,"20,8 г","22,4 г","27,9 г"
5 СТРИПСОВ оригинальные 5/28г (порция 140 гр) [Ростик'c - KFC],"405,4 кКал","19,2 г","34,3 г","21,3 г"
5 СТРИПСОВ острые 5/28г (порция 140 гр) [Ростик'c - KFC],"343,1 кКал","22,1 г","31,2 г","14,4 г"
6 Стрипса Острых [Ростик'c - KFC],412 кКал,"26,5 г","37,5 г","17,3 г"
6 Стрипсов Оригинальные [Ростик'c - KFC],388 кКал,"23,8 г","40,8 г","14,4 г"
7Up Мохито [Ростик'c - KFC],45 кКал,11 г,0 г,0 г
8 Крылышек [Ростик'c - KFC],678 кКал,"33,3 г","35,9 г","44,7 г"
I-Twister [Ростик'c - KFC],267 кКал,"28,7 г","10,5 г","12,3 г"
I-Twister Cheese [Ростик'c - KFC],245 кКал,"23,1 г","11,4 г","11,9 г"
KFC БАСКЕТ ФРИ (порция 240 гр) [Ростик'c - KFC],"662,4 кКал","72,2 г","9,1 г","37,2 г"
KFC ВАФЛЯ БЕЛЬГИЙСКАЯ (порция 90 гр) [Ростик'c - KFC],"402,3 кКал","49,1 г","4,1 г","21,2 г"
KFC ВАФЛЯ БЕЛЬГИЙСКАЯ С МОРОЖЕНЫМ (порция 130 гр) [Ростик'c - KFC],416 кКал,"53,2 г","5,3 г","20,2 г"
KFC ВАФЛЯ БЕЛЬГИЙСКАЯ С МОРОЖЕНЫМ И ТОППИНГОМ клубничным (порция 140 гр) [Ростик'c - KFC],"480,2 кКал","63,4 г","5,6 г","22,8 г"
KFC ВАФЛЯ БЕЛЬГИЙСКАЯ С МОРОЖЕНЫМ И ТОППИНГОМ мокка-карамель (порция 140 гр) [Ростик'c - KFC],"487,2 кКал","65,1 г","5,6 г","22,8 г"
KFC ВАФЛЯ БЕЛЬГИЙСКАЯ С МОРОЖЕНЫМ И ТОППИНГОМ шоколадным (порция 140 гр) [Ростик'c - KFC],"484,4 кКал",64 г,"5,7 г","22,8 г"
KFC ВАФЛЯ БЕЛЬГИЙСКАЯ С ТОППИНГОМ:клубничным (порция 100 гр) [Ростик'c - KFC],425 кКал,"54,5 г","4,1 г","21,2 г"
KFC ВАФЛЯ БЕЛЬГИЙСКАЯ С ТОППИНГОМ:мокка-карамель (порция 100 гр) [Ростик'c - KFC],432 кКал,"56,3 г","4,1 г","21,2 г"
KFC ВАФЛЯ БЕЛЬГИЙСКАЯ С ТОППИНГОМ:шоколадным (порция 100 гр) [Ростик'c - KFC],428 кКал,"55,1 г","4,2 г","21,3 г"
KFC ГЛЯСЕ (порция 260 гр) [Ростик'c - KFC],"83,2 кКал","13,3 г","2,3 г","2,3 г"
KFC ГОРЯЧИЙ ШОКОЛАД (порция 230 гр) [Ростик'c - KFC],"73,6 кКал","11,7 г","2,1 г","2,1 г"
KFC КАПУЧИНО (порция 200 гр) [Ростик'c - KFC],64 кКал,"6,6 г","4,4 г","2,2 г"
KFC КАРТОФЕЛЬ ФРИ мал. (порция 70 гр) [Ростик'c - KFC],"193,2 кКал","21,1 г","2,7 г","10,9 г"
KFC КАРТОФЕЛЬ ФРИ станд. (порция 120 гр) [Ростик'c - KFC],"331,2 кКал","36,1 г","4,6 г","18,6 г"
"KFC КОКА-КОЛА ЛАЙТ/ ПЕПСИ-КОЛА ЛАЙТ Большой 0,75л (порция 750 гр) [Ростик'c - KFC]","1,5 кКал","0,8 г",0 г,0 г
"KFC КОКА-КОЛА ЛАЙТ/ ПЕПСИ-КОЛА ЛАЙТ Детский 0,3л (порция 300 гр) [Ростик'c - KFC]","0,6 кКал","0,3 г",0 г,0 г
