Продукт,Калорийность,Углеводы,Белки,Жиры
Max Мясо на Углях [Lay's],510 кКал,54 г,6 г,30 г
Maxx Куриные Крылышки Барбекю [Lay's],520 кКал,53 г,6 г,32 г
Nature с Оливковым Маслом «Мягкий Сыр и Прованские Травы» [Lay's],520 кКал,52 г,6 г,32 г
Oven Baked [Lay's],443 кКал,71 г,5 г,14 г
"Stax ""Колбаски Чоризо"" [Lay's]",500 кКал,57 г,6 г,27 г
Stax Ароматные Рёбрышки Барбекю [Lay's],490 кКал,57 г,5 г,27 г
Stax Копченый Лосось [Lay's],500 кКал,56 г,6 г,28 г
Stax Королевский Краб [Lay's],490 кКал,57 г,5 г,27 г
Stax Краб [Lay's],490 кКал,57 г,5 г,27 г
Stax Ребрышки Барбекю [Lay's],490 кКал,56 г,6 г,27 г
Stax с Луком [Lay's],520 кКал,57 г,"5,5 г",30 г
Stax с Солью [Lay's],530 кКал,57 г,5 г,31 г
Stax Сливочный Сыр [Lay's],500 кКал,55 г,6 г,28 г
Stax Сметана и Лук [Lay's],490 кКал,57 г,5 г,27 г
Stix Кетчуп [Lay's],510 кКал,53 г,6 г,30 г
Stix Сметана и Лук [Lay's],520 кКал,53 г,6 г,32 г
Stix Сыр Чеддер [Lay's],520 кКал,53 г,6 г,32 г
Strong Королевская Креветка [Lay's],510 кКал,53 г,6 г,30 г
Strong Охотничьи Колбаски [Lay's],500 кКал,52 г,6 г,30 г
Strong Холодец с Хреном [Lay's],500 кКал,52 г,"6,2 г",30 г
Strong Чипсы К Пиву Чеснок [Lay's],510 кКал,53 г,"6,5 г",30 г
Белые Грибы со Сметаной [Lay's],520 кКал,51 г,6 г,32 г
Грибы в Сливочном Соусе [Lay's],520 кКал,53 г,6 г,31 г
из Печи Ароматный Укроп [Lay's],450 кКал,68 г,5 г,17 г
Итальянская Фокачча [Lay's],510 кКал,53 г,"6,5 г",30 г
Картофельные Чипсы со Вкусом Ароматный Укроп [Lay's],450 кКал,69 г,5 г,17 г
Картофельные Чипсы со Вкусом Сыра [Lay's],520 кКал,53 г,"6,5 г",31 г
Картошечка с Маслом и Укропом [Lay's],520 кКал,52 г,6 г,32 г
Колбаски в Горчичном Соусе [Lay's],510 кКал,53 г,6 г,31 г
Колбаски Чоризо с Луком [Lay's],530 кКал,54 г,6 г,32 г
Лосось в Сливочном Соусе [Lay's],520 кКал,53 г,6 г,32 г
Мега Бекон [Lay's],510 кКал,53 г,"6,5 г",30 г
Перец Гриль [Lay's],520 кКал,51 г,6 г,32 г
Пикантная Паприка [Lay's],490 кКал,57 г,5 г,27 г
Рёбрышки Гриль [Lay's],520 кКал,53 г,6 г,32 г
Сметана и Лук [Lay's],510 кКал,53 г,6 г,30 г
Соломка из Натурального Картофеля [Lay's],510 кКал,53 г,6 г,30 г
Футбольный Бургер [Lay's],520 кКал,53 г,6 г,32 г
Чипсы «Красная Икра» [Lay's],510 кКал,53 г,7 г,30 г
Чипсы [Lay's],520 кКал,53 г,6 г,32 г
Чипсы Black Star Burger BBQ [Lay's],510 кКал,53 г,6 г,30 г
Чипсы Strong Королевская Креветка [Lay's],510 кКал,53 г,6 г,30 г
Чипсы Strong Острый Чили [Lay's],500 кКал,52 г,"6,5 г",30 г
Чипсы Strong Охотничьи Колбаски [Lay's],500 кКал,52 г,"6,4 г",30 г
Чипсы Аргентинские Ребрышки [Lay's],510 кКал,53 г,6 г,30 г
Чипсы Белые Грибы со Сметаной [Lay's],520 кКал,51 г,6 г,32 г
Чипсы Донер [Lay's],510 кКал,53 г,6 г,30 г
Чипсы Зелёный Лук [Lay's],520 кКал,53 г,"6,5 г",30 г
Чипсы Зеленый Лук [Lay's],510 кКал,53 г,"6,5 г",30 г
Чипсы из Печи Королевский Краб [Lay's],440 кКал,69 г,"5,5 г",16 г
Чипсы из Печи Лисички в Сметане [Lay's],450 кКал,69 г,6 г,16 г
Чипсы из Печи Нежный Сыр с Зеленью [Lay's],440 кКал,69 г,"5,5 г",16 г
Чипсы из Печи Сметана и Ароматные Травы [Lay's],440 кКал,69 г,"5,5 г",16 г
Чипсы Итальянская Лазанья [Lay's],510 кКал,53 г,"6,2 г",30 г
Чипсы Итальянская Фокачча [Lay's],510 кКал,53 г,"6,5 г",30 г
Чипсы Итальянские Колбаски [Lay's],520 кКал,52 г,6 г,32 г
Чипсы К Пиву [Lay's],500 кКал,52 г,"6,5 г",30 г
Чипсы Кесадилья с Соусом Сальса [Lay's],520 кКал,53 г,6 г,32 г
Чипсы Краб [Lay's],520 кКал,53 г,6 г,32 г
Чипсы Куриные Крылышки Барбекю [Lay's],510 кКал,53 г,6 г,30 г
Чипсы Лосось в Сливочном Соусе [Lay's],520 кКал,53 г,6 г,32 г
Чипсы Малосольные Огурчики [Lay's],510 кКал,53 г,6 г,30 г
Чипсы Малосольные Огурчики с Укропом [Lay's],520 кКал,53 г,"6,5 г",31 г
Чипсы Мексиканский Буррито [Lay's],510 кКал,53 г,6 г,30 г
Чипсы Нежный Сыр с Луком [Lay's],530 кКал,53 г,"6,5 г",32 г
Чипсы Пицца 4 Сыра [Lay's],520 кКал,53 г,6 г,32 г
"Чипсы Рифлёные ""Сметана в Русских Традициях"" [Lay's]",530 кКал,54 г,6 г,32 г
Чипсы Рифленые Нежный Сыр с Луком [Lay's],520 кКал,53 г,6 г,32 г
Чипсы Рифлёные Сметана и Лук [Lay's],520 кКал,53 г,6 г,32 г
Чипсы Рифленые Сметана и Лук [Lay's],510 кКал,53 г,6 г,30 г
Чипсы Рифленые со Вкусом Лобстера [Lay's],520 кКал,53 г,6 г,32 г
Чипсы Рифлёные Чили и Лайм [Lay's],520 кКал,52 г,"6,5 г",32 г
Чипсы с Беконом [Lay's],510 кКал,53 г,6 г,30 г
Чипсы с Крабом [Lay's],510 кКал,53 г,6 г,30 г
Чипсы с Красной Икрой [Lay's],510 кКал,54 г,6 г,30 г
Чипсы с Лисичками из Печи [Lay's],450 кКал,69 г,6 г,16 г
Чипсы с Паприкой [Lay's],520 кКал,51 г,6 г,32 г
Чипсы с Солью [Lay's],520 кКал,52 г,6 г,32 г
Чипсы с Сыром [Lay's],527 кКал,"52,6 г","6,2 г","31,4 г"
Чипсы с Чесноком [Lay's],510 кКал,53 г,"6,5 г",30 г
Чипсы Сметана и Зелень [Lay's],520 кКал,53 г,6 г,32 г
Чипсы Сметана и Лук [Lay's],510 кКал,53 г,6 г,30 г
Чипсы со Вкусом «Сыр и Ветчина» [Lay's],520 кКал,53 г,6 г,32 г
Чипсы со Вкусом Бекона [Lay's],520 кКал,53 г,6 г,32 г
Чипсы со Вкусом Краба [Lay's],520 кКал,53 г,6 г,32 г
Чипсы со Вкусом Лосося [Lay's],520 кКал,53 г,6 г,31 г
Чипсы Со Вкусом Пикантная Горчица [Lay's],520 кКал,53 г,6 г,32 г
Чипсы со Вкусом Сметаны и Лука [Lay's],510 кКал,53 г,6 г,30 г
Чипсы со Вкусом Сыра [Lay's],520 кКал,53 г,6 г,32 г
Чипсы со Вкусом Хот-Дог [Lay's],520 кКал,53 г,6 г,32 г
Чипсы со Вкусом Шашлыка [Lay's],515 кКал,51 г,6 г,32 г
Чипсы Сыр и Лук [Lay's],510 кКал,53 г,"6,5 г",30 г
Чипсы Сыр Чеддер с Луковым Мотивом [Lay's],510 кКал,53 г,6 г,30 г
Чипсы Томаты с Нотками Ароматных Пряностей [Lay's],510 кКал,53 г,6 г,30 г
Чипсы Французский Сыр с Травами [Lay's],520 кКал,53 г,6 г,31 г
Чипсы Футбольные Колбаски с Горчицей [Lay's],510 кКал,53 г,6 г,31 г
