Продукт,Калорийность,Углеводы,Белки,Жиры
Celebrations [Mars],493 кКал,62 г,"5,5 г",24 г
Choc Brownie [Mars],452 кКал,66 г,"4,6 г","18,3 г"
Cookies [Mars],454 кКал,"61,3 г","5,4 г","20,1 г"
Dessert Sauce [Mars],326 кКал,62 г,"1,3 г",8 г
Hi Protein Salted Caramel [Mars],209 кКал,23 г,20 г,"4,9 г"
Ice Cream [Mars],330 кКал,"40,3 г","3,5 г","17,1 г"
M&Ms [Mars],481 кКал,"71,5 г","4,3 г","19,2 г"
Mars,230 кКал,34 г,"2,2 г",9 г
Mars,454 кКал,"69,6 г","4,1 г","17,4 г"
Mars Max,454 кКал,"69,6 г","4,1 г","17,4 г"
Mars Milk,70 кКал,"9,6 г",3 г,"2,1 г"
Mars Milk,244 кКал,"33,6 г","10,7 г","7,3 г"
Mars Mini,80 кКал,"12,8 г","0,6 г","2,8 г"
Mars Minis,59 кКал,"9,1 г","0,5 г","2,2 г"
Mars Minis,452 кКал,70 г,"3,8 г","17,1 г"
Mars Protein,351 кКал,39 г,33 г,"8,1 г"
Mars Protein,200 кКал,22 г,19 г,"4,6 г"
Milkyway [Mars],120 кКал,"19,3 г","0,9 г","4,4 г"
Milkyway Minis [Mars],448 кКал,"73,5 г","2,8 г","15,6 г"
Protein [Mars],378 кКал,52 г,"20,2 г","11,3 г"
Xtra Choc Protein [Mars],188 кКал,"21,8 г","18,1 г","4,2 г"
Горячий Шоколад [Mars],175 кКал,26 г,"7,9 г","4,1 г"
Молочное Мороженое [Mars],330 кКал,"40,3 г","3,5 г","17,1 г"
Мороженное [Mars],170 кКал,"19,9 г","2,1 г","9,1 г"
Мороженное Сникерс [Mars],209 кКал,"22,3 г",4 г,"11,4 г"
Мороженое [Mars],338 кКал,39 г,"3,8 г",18 г
Мороженое [Mars],139 кКал,"15,8 г","1,7 г","7,5 г"
Мороженое Praline [Mars],339 кКал,"41,3 г","3,5 г","17,6 г"
Мороженое Баунти [Mars],348 кКал,36 г,4 г,21 г
Мороженое Сникерс [Mars],209 кКал,"22,3 г",4 г,"11,4 г"
Печенье [Mars],435 кКал,"66,2 г","4,6 г","16,3 г"
Протеиновый Батончик [Mars],351 кКал,39 г,33 г,"8,1 г"
Протеиновый Батончик [Mars],231 кКал,"25,7 г",22 г,"5,3 г"
Протеиновый Батончик Баунти [Mars],192 кКал,"17,3 г","18,7 г","5,7 г"
Сникерс Арахисовый Крем [Mars],519 кКал,"51,3 г","10,4 г","29,2 г"
Сникерс Пломбир [Mars],509 кКал,"56,3 г","8,2 г","27,5 г"
Шоколадная Паста [Mars],573 кКал,"57,6 г","3,1 г","36,4 г"
Шоколадный Батончик [Mars],454 кКал,"69,6 г","4,1 г","17,4 г"
