Продукт,Калорийность,Углеводы,Белки,Жиры
Fitness Батончик с Цельными Злаками [Nestle (Нестле)],88 кКал,"16,4 г","1,3 г","1,6 г"
Fitness Батончик с Цельными Злаками и Клубникой [Nestle (Нестле)],87 кКал,"16,2 г","1,4 г","1,6 г"
Fitness Батончик с Цельными Злаками и Шоколадом [Nestle (Нестле)],88 кКал,"16,3 г","1,3 г","1,7 г"
Fitness Хлопья из Цельной Пшеницы [Nestle (Нестле)],352 кКал,"73,9 г","9,2 г","2,2 г"
Nuts [Nestle (Нестле)],247 кКал,31 г,3 г,12 г
Батончик Nestle Fitness с цельными злаками и клубникой [Nestle (Нестле)],369 кКал,"68,9 г","5,8 г","6,7 г"
Готовый завтрак Nestle Kosmostars звездочки и галактики медовые [Nestle (Нестле)],400 кКал,"76,2 г","7,2 г",5 г
Гречневая каша Nestle безмолочная [Nestle (Нестле)],377 кКал,"76,5 г",11 г,3 г
Гречневая каша Nestle безмолочная с черносливом [Nestle (Нестле)],377 кКал,"76,5 г",11 г,3 г
Гречневая каша Nestle молочная [Nestle (Нестле)],410 кКал,66 г,14 г,10 г
Гречневая каша Nestle молочная с курагой [Nestle (Нестле)],410 кКал,66 г,14 г,10 г
Каша 3 злака Nestle молочная с яблоком и грушей [Nestle (Нестле)],416 кКал,"67,5 г",14 г,10 г
Каша 5 злаков Nestle молочная с яблоком и бананом [Nestle (Нестле)],418 кКал,68 г,14 г,10 г
Кукурузные Хлопья Хрутка [Nestle (Нестле)],375 кКал,"85,4 г","6,5 г","0,9 г"
Мороженое Maxibon Страчателла [Nestle (Нестле)],314 кКал,"40,5 г","3,4 г",15 г
Мороженое Nestle Extreme Пломбир с чёрной смородиной [Nestle (Нестле)],262 кКал,"35,5 г","2,6 г","12,6 г"
Мороженое Nestle Extreme Тропик [Nestle (Нестле)],236 кКал,39 г,"2,4 г","7,5 г"
Мороженое Nestle Maxibon с печеньем и орехами [Nestle (Нестле)],307 кКал,"39,2 г","3,6 г",15 г
Мороженое Nestle Maxibon Страчателла [Nestle (Нестле)],307 кКал,"39,4 г","3,6 г",15 г
Овсяная каша Nestle безмолочная [Nestle (Нестле)],382 кКал,72 г,10 г,6 г
Овсяная каша Nestle молочная с грушей и бананом [Nestle (Нестле)],406 кКал,65 г,14 г,10 г
Овсяная каша Nestle молочная с яблоком и абрикосом [Nestle (Нестле)],406 кКал,65 г,14 г,10 г
Пломбир 48 Копеек [Nestle (Нестле)],221 кКал,"21,7 г","2,7 г","13,5 г"
Пшеничная каша Nestle молочная с бананом [Nestle (Нестле)],414 кКал,66 г,15 г,10 г
Пшеничная каша Nestle молочная с тыквой [Nestle (Нестле)],414 кКал,66 г,15 г,10 г
Пшеничная каша Nestle молочная с яблоком [Nestle (Нестле)],414 кКал,66 г,15 г,10 г
Рисовая каша Nestle безмолочная [Nestle (Нестле)],381 кКал,"86,5 г","6,5 г",1 г
Рисовая каша Nestle молочная с бананом [Nestle (Нестле)],422 кКал,"70,9 г",12 г,10 г
Рисовая каша Nestle молочная с яблоком [Nestle (Нестле)],422 кКал,"70,9 г",12 г,10 г
Фитнес Батончик [Nestle (Нестле)],87 кКал,"16,2 г","1,4 г","1,6 г"
Хлопья Fitness [Nestle (Нестле)],106 кКал,"22,53 г","2,6 г","0,6 г"
Хлопья Fitness с Фруктами [Nestle (Нестле)],364 кКал,"75,5 г","6,4 г","2,8 г"
Хлопья Fitness Темный Шоколад [Nestle (Нестле)],380 кКал,"70,3 г","8,2 г","7,3 г"
"Хлопья Fitness Фрукты, Ягоды и Орехи [Nestle (Нестле)]",350 кКал,"74,6 г","6,5 г","2,9 г"
Хлопья Nestle Fitness из цельной пшеницы [Nestle (Нестле)],357 кКал,"76,4 г","8,3 г",2 г
Хлопья Nestle Fitness с тёмным шоколадом [Nestle (Нестле)],384 кКал,"72,9 г",8 г,"6,7 г"
Хлопья Nestle Fitness с фруктами [Nestle (Нестле)],352 кКал,"75,7 г","6,4 г","2,6 г"
Хлопья Фитнесс [Nestle (Нестле)],353 кКал,"17,1 г","8,6 г","0,9 г"
Шоколад Nestle After Eight [Nestle (Нестле)],428 кКал,"74,4 г","2,5 г","12,8 г"
Шоколад Nestle for Men [Nestle (Нестле)],555 кКал,"54,9 г","7,5 г","33,8 г"
Шоколад Nestle for Men с фундуком [Nestle (Нестле)],572 кКал,"47,8 г","8,6 г","36,5 г"
Шоколад Nestle for Men с цельным миндалем [Nestle (Нестле)],560 кКал,"51,1 г","8,6 г","35,8 г"
Шоколад Nestle Nesquik [Nestle (Нестле)],485 кКал,"65,6 г","5,9 г","22,1 г"
