Продукт,Калорийность,Углеводы,Белки,Жиры
БМТ [Subway (Сабвей)],450 кКал,47 г,22 г,20 г
Индейка и Ветчина [Subway (Сабвей)],325 кКал,37 г,14 г,"13,3 г"
Кукис [Subway (Сабвей)],97 кКал,"13,5 г","0,9 г","4,5 г"
Курица Терияки [Subway (Сабвей)],305 кКал,"40,5 г",21 г,"6,4 г"
Овощной [Subway (Сабвей)],220 кКал,"37,2 г","6,1 г",5 г
Ролл с Куриной Грудкой [Subway (Сабвей)],438 кКал,"64,8 г","22,8 г","9,8 г"
Саб Куриная Грудка [Subway (Сабвей)],305 кКал,"41,2 г","20,6 г","6,3 г"
Саб Ростбиф [Subway (Сабвей)],269 кКал,"37,2 г","12,4 г","7,7 г"
Саб с Индейкой [Subway (Сабвей)],280 кКал,47 г,18 г,"3,5 г"
Саб с Тунцом [Subway (Сабвей)],362 кКал,"38,8 г","15,6 г","15,9 г"
Саб с Тунцом [Subway (Сабвей)],362 кКал,"38,8 г","15,6 г","15,9 г"
Салат с Куриной Грудкой [Subway (Сабвей)],117 кКал,"8,6 г","15,7 г","2,3 г"
Сэндвич Курица Терияки [Subway (Сабвей)],380 кКал,59 г,26 г,5 г
Сэндвич Острый Итальянский [Subway (Сабвей)],520 кКал,46 г,22 г,28 г
Сэндвич с Индейкой и Ветчиной [Subway (Сабвей)],326 кКал,"37,2 г",14 г,"13,3 г"
