Продукт,Калорийность,Углеводы,Белки,Жиры
Arome Framboise [Ашан],37 кКал,"4,7 г","4,3 г","0,1 г"
Cannelloni [Ашан],324 кКал,67 г,12 г,1 г
Caramchoc [Ашан],396 кКал,76 г,"8,4 г","5,2 г"
Choco Crac [Ашан],506 кКал,59 г,"8,2 г",26 г
Crousty [Ашан],446 кКал,69 г,"8,6 г",14 г
Fromage Blanc [Ашан],110 кКал,"2,9 г",7 г,"7,8 г"
Fromage Blanc 0% [Ашан],46 кКал,"3,4 г",8 г,0 г
Fromage Blanc Vanille 0% [Ашан],76 кКал,12 г,"7,1 г","0,1 г"
Fromage Frais [Ашан],46 кКал,"3,4 г",8 г,"0,1 г"
Galletas Fondants [Ашан],513 кКал,65 г,"7,5 г",24 г
Golden Crack [Ашан],379 кКал,81 г,"6,5 г",2 г
Lait Fourre [Ашан],569 кКал,50 г,"8,3 г",37 г
Minicookies [Ашан],392 кКал,78 г,"8,1 г",4 г
Noir Degustation 72% [Ашан],555 кКал,"29,7 г","8,4 г","42,1 г"
Noir Degustation 74% [Ашан],569 кКал,"28,6 г",8 г,"44,4 г"
Noir Degustation 85% [Ашан],591 кКал,"16,8 г",8 г,"51,6 г"
Pastina Gemmine [Ашан],350 кКал,71 г,12 г,"1,2 г"
Petit Brie [Ашан],355 кКал,"0,1 г",19 г,31 г
Pomme Fraise [Ашан],69 кКал,14 г,"0,5 г","0,5 г"
Puffed Heart [Ашан],386 кКал,79 г,"9,8 г","1,9 г"
Up To Go A Grignoter [Ашан],474 кКал,71 г,"5,8 г",18 г
Абрикос [Ашан],44 кКал,9 г,"0,9 г","0,1 г"
Абрикос Сушеный [Ашан],230 кКал,51 г,5 г,"0,5 г"
Абрикосы Сушёные [Ашан],220 кКал,52 г,"1,5 г","0,5 г"
Авокадо Хасс [Ашан],144 кКал,"2,6 г",2 г,16 г
Аджапсандал [Ашан],44 кКал,"6,5 г","1,6 г","1,3 г"
Азиатский Соус Wok с Грибами Шиитаке [Ашан],150 кКал,14 г,2 г,10 г
"Азу из Говядины ""Фермерская"" [Ашан]",240 кКал,0 г,14 г,20 г
Азу из Говядины [Ашан],123 кКал,0 г,19 г,5 г
Азу из Мяса Молодых Бычков [Ашан],240 кКал,0 г,14 г,20 г
Айва [Ашан],40 кКал,"9,8 г","0,6 г","0,5 г"
Алыча [Ашан],27 кКал,"6,9 г","0,2 г",0 г
Ананас [Ашан],38 кКал,"11,5 г","0,4 г","0,2 г"
Ананас в Сиропе Кусочки [Ашан],70 кКал,17 г,0 г,0 г
Ананас Кольцо [Ашан],356 кКал,"83,4 г","0,7 г","0,8 г"
Ананас Кольцо Вес [Ашан],120 кКал,30 г,"1,5 г","0,3 г"
Ананас Листики Микс (Сушеный) [Ашан],350 кКал,87 г,0 г,0 г
Ананас Сушеные Язычки [Ашан],339 кКал,"82,2 г","0,8 г","0,4 г"
Ананас Сушеный Кубик [Ашан],339 кКал,"82,2 г","0,8 г","0,4 г"
Ананас Сушеный Язычки [Ашан],339 кКал,"82,2 г","0,8 г","0,4 г"
Антрекот из Говядины [Ашан],131 кКал,0 г,17 г,7 г
Антрекот из Телятины [Ашан],85 кКал,0 г,19 г,1 г
Антрекот на Кости из Мяса Молодых Бычков [Ашан],160 кКал,0 г,17 г,10 г
Апельсин [Ашан],43 кКал,"8,1 г","0,9 г","0,2 г"
Апельсин Темный Шоколад со Стевией [Ашан],453 кКал,"37,1 г","5,2 г","31,8 г"
Арахис в Кокосовой Глазури [Ашан],339 кКал,60 г,10 г,26 г
Арахис в Кунжуте [Ашан],520 кКал,52 г,14 г,28 г
Арахис в Молочном Шоколаде [Ашан],488 кКал,"64,5 г","8,3 г","23,2 г"
Арахис в Сахаре [Ашан],460 кКал,75 г,"7,5 г",15 г
Арахис в Сырной Корочке [Ашан],498 кКал,"37,7 г",13 г,"32,8 г"
Арахис в Хрустящей Корочке Васаби [Ашан],498 кКал,"37,7 г",13 г,"32,8 г"
Арахис Жареный Солёный [Ашан],640 кКал,17 г,25 г,52 г
Арахис Необжаренный Несоленый [Ашан],561 кКал,"4,5 г","27,9 г","47,9 г"
Арахис с Васаби [Ашан],225 кКал,39 г,16 г,31 г
Арахис Соленый Жареный [Ашан],640 кКал,17 г,25 г,52 г
Арахис Сырой Очищенный [Ашан],550 кКал,"8,5 г",26 г,45 г
Ассорти из Морепродуктов [Ашан],54 кКал,"1,6 г","8,6 г","1,4 г"
Ассорти из Морепродуктов с/М [Ашан],69 кКал,"7,4 г","7,9 г","0,9 г"
Ассорти из Тропических Фруктов [Ашан],60 кКал,14 г,0 г,0 г
Ассорти Куриное [Ашан],197 кКал,"11,6 г","14,2 г","10,3 г"
Багет 8 Злаков [Ашан],253 кКал,39 г,13 г,5 г
Багет Ароматный с Солодом и Кориандром [Ашан],229 кКал,43 г,"6,1 г","1,1 г"
Багет Гурман [Ашан],240 кКал,48 г,8 г,1 г
Багет Гурман Фитнес [Ашан],200 кКал,41 г,6 г,1 г
Багет Здоровье [Ашан],200 кКал,41 г,6 г,1 г
Багет Луковый [Ашан],245 кКал,50 г,7 г,1 г
Багет Мексиканский [Ашан],253 кКал,"51,3 г","8,2 г","1,2 г"
