Продукт,Калорийность,Углеводы,Белки,Жиры
Белый гриб,34 кКал,"1,1 г","3,7 г","1,7 г"
Белый гриб сушеный,286 кКал,9 г,"30,3 г","14,3 г"
"Белый гриб, быстро обжаренный (стир-фрай)",26 кКал,"2,24 г","3,58 г","0,33 г"
"Белый гриб, вареный, без соли",28 кКал,"3,09 г","2,17 г","0,47 г"
"Белый гриб, вареный, с солью",28 кКал,"3,09 г","2,17 г","0,47 г"
"Белый гриб, выращенный под ультрафиолетом",22 кКал,"2,26 г","3,09 г","0,34 г"
"Белый гриб, приготовленный в микроволновке",35 кКал,"3,54 г","3,91 г","0,46 г"
"Белый гриб, сырой",22 кКал,"2,26 г","3,09 г","0,34 г"
Вешенки,33 кКал,"3,79 г","3,31 г","0,41 г"
Грибы жареные (сушеные) по 1-268,270 кКал,"1,2 г","11,3 г","24,4 г"
Грибы жареные в сметанном соусе по 1-242,172 кКал,"3,5 г","6,7 г","14,5 г"
Грибы жареные с картофелем по 1-242,114 кКал,"12,7 г","3,9 г","5,2 г"
"Грибы, запеченные в сметанном соусе по 1-260",188 кКал,"3,2 г","6,5 г","16,6 г"
"Грибы, консервированные, содержимое без жидкости",25 кКал,"2,69 г","1,87 г","0,29 г"
"Грибы, тушенные с картофелем по 1-228",117 кКал,"10,7 г",4 г,"6,4 г"
Груздь,16 кКал,"0,5 г","1,8 г","0,8 г"
Лисички,32 кКал,"3,06 г","1,49 г","0,53 г"
Лисички,19 кКал,1 г,"1,5 г","1,1 г"
Маслята,9 кКал,"0,5 г","2,4 г","0,7 г"
Опенок,22 кКал,"0,5 г","2,2 г","1,2 г"
Подберезовик,20 кКал,"1,2 г","2,3 г","0,9 г"
Подберезовик сушеный,231 кКал,"14,3 г","23,5 г","9,2 г"
Подосиновик,22 кКал,"1,2 г","3,3 г","0,5 г"
Подосиновик сушеный,299 кКал,"12,9 г","35,4 г","5,4 г"
"Портобелло, грибы",22 кКал,"2,57 г","2,11 г","0,35 г"
"Портобелло, грибы приготовленные на гриле",29 кКал,"2,24 г","3,28 г","0,58 г"
"Портобелло, грибы, выращенные под ультрафиолетом",22 кКал,"2,57 г","2,11 г","0,35 г"
"Портобелло, грибы, выращенные под ультрафиолетом, приготовленные на гриле",29 кКал,"2,24 г","3,28 г","0,58 г"
Рыжик,22 кКал,"0,5 г","1,9 г","0,8 г"
"Сморчок, гриб",31 кКал,"2,3 г","3,12 г","0,57 г"
"Сморчок, гриб",22 кКал,"0,2 г","2,9 г","0,4 г"
"Соломенные грибы, консервированные, содержимое без жидкости",32 кКал,"2,14 г","3,83 г","0,68 г"
Сыроежки,19 кКал,"1,5 г","1,7 г","0,7 г"
Чернушка,0 кКал,0 г,0 г,0 г
Шампиньоны,27 кКал,"0,1 г","4,3 г",1 г
"Шампиньоны, выращенные под ультрафиолетом",22 кКал,"3,7 г","2,5 г","0,1 г"
"Шампиньоны, сырые",22 кКал,"3,7 г","2,5 г","0,1 г"
"Шиитаке, грибы",34 кКал,"4,29 г","2,24 г","0,49 г"
"Шиитаке, грибы быстро обжаренные (стир-фрай)",39 кКал,"4,08 г","3,45 г","0,35 г"
"Шиитаке, грибы приготовленные, без соли",56 кКал,"12,29 г","1,56 г","0,22 г"
"Шиитаке, грибы приготовленные, с солью",56 кКал,"12,29 г","1,56 г","0,22 г"
"Шиитаке, грибы сушеные",296 кКал,"63,87 г","9,58 г","0,99 г"
"Эноки (опёнок зимний, энокитаки), грибы",37 кКал,"5,11 г","2,66 г","0,29 г"
