Продукт,Калорийность,Углеводы,Белки,Жиры
Gold Роллтон,340 кКал,49 г,8 г,12 г
Бульон Говяжий Домашний [Роллтон],76 кКал,"14,5 г","1,5 г","1,5 г"
Бульон Говяжий с Сухариками [Роллтон],390 кКал,72 г,2 г,11 г
Бульон Домашний Грибной [Роллтон],85 кКал,17 г,"1,5 г",1 г
Бульон Домашний Куриный [Роллтон],80 кКал,16 г,"1,5 г","1,5 г"
Бульон Домашний Мясной [Роллтон],91 кКал,"14,4 г",1 г,"3,3 г"
Бульон Домашний с Белыми Грибами [Роллтон],85 кКал,17 г,1 г,"1,5 г"
Бульон Куриный Домашний [Роллтон],85 кКал,15 г,"1,5 г",2 г
Бульон Приправа Куриный с Пряностями [Роллтон],67 кКал,"14,6 г","0,9 г","0,6 г"
Бульон с Индейкой [Роллтон],160 кКал,35 г,"2,5 г",2 г
Вермишель [Роллтон],450 кКал,57 г,9 г,21 г
Вермишель Быстрого Приготовления [Роллтон],480 кКал,"60,8 г","7,9 г","22,8 г"
Вермишель из Твёрдых Сортов Пшеницы [Роллтон],340 кКал,71 г,11 г,1 г
Вермишель на Домашнем Бульоне с Белыми Грибами [Роллтон],420 кКал,51 г,7 г,21 г
Вермишель на Домашнем Бульоне с Говядиной [Роллтон],440 кКал,50 г,7 г,23 г
Вермишель на Домашнем Бульоне с Грибами [Роллтон],440 кКал,50 г,7 г,23 г
Вермишель на Домашнем Бульоне с Курицей [Роллтон],440 кКал,50 г,7 г,23 г
Вермишель на Домашнем Бульоне с Овощами [Роллтон],420 кКал,51 г,7 г,21 г
Вермишель на Домашнем Бульоне с Острой Курицей [Роллтон],420 кКал,51 г,7 г,21 г
Вермишель на Домашнем Бульоне с Сыром и Беконом [Роллтон],450 кКал,57 г,9 г,21 г
Вермишель с Острой Курицей [Роллтон],452 кКал,"56,7 г","8,7 г","21,1 г"
Вермишель с Сыром и Беконом [Роллтон],420 кКал,50 г,7 г,21 г
Витки [Роллтон],344 кКал,"71,5 г","10,4 г","1,1 г"
Гнезда [Роллтон],340 кКал,70 г,11 г,2 г
Горячая Порция Лапша с Говядиной [Роллтон],390 кКал,53 г,7 г,17 г
Горячая Порция Лапша с Курицей [Роллтон],400 кКал,54 г,6 г,17 г
Горячая Порция с Курицей [Роллтон],440 кКал,50 г,7 г,23 г
Грибная Лапша по-Домашнему [Роллтон],431 кКал,"56,1 г","7,7 г","19,5 г"
Жареный Картофель с Луком и Беконом [Роллтон],93 кКал,"14,6 г","2,2 г","2,3 г"
Камчатский Краб [Роллтон],400 кКал,54 г,7 г,17 г
Картошка [Роллтон],370 кКал,67 г,6 г,8 г
Крем-Суп Куриный с Сухариками [Роллтон],410 кКал,59 г,3 г,"17,5 г"
Крем-Суп с Лесными Грибами и Сухариками [Роллтон],380 кКал,55 г,7 г,15 г
Куриная Лапша по-Домашнему [Роллтон],410 кКал,52 г,"7,5 г",19 г
Куриная Лапша по-Домашнему Острая [Роллтон],370 кКал,50 г,6 г,16 г
Лагман с Бараниной [Роллтон],308 кКал,"36,8 г","5,4 г","15,5 г"
Лазанья [Роллтон],326 кКал,"69,1 г",10 г,"1,1 г"
Лапша [Роллтон],320 кКал,43 г,6 г,14 г
Лапша без Масла [Роллтон],338 кКал,70 г,10 г,2 г
Лапша Быстрого Приготовления [Роллтон],410 кКал,52 г,"7,5 г",19 г
Лапша Быстрого Приготовления со Вкусом Варёной Креветки [Роллтон],400 кКал,54 г,6 г,17 г
Лапша Куриные Крылышки Баффало [Роллтон],400 кКал,53 г,6 г,17 г
Лапша Лагман с Бараниной [Роллтон],310 кКал,37 г,"5,5 г",16 г
Лапша Лагман с Бараниной по-Домашнему [Роллтон],400 кКал,54 г,7 г,17 г
