Продукт,Калорийность,Углеводы,Белки,Жиры
Chocolate Молочный Шоколад с Карамелизованным Дробленным Фундуком [Яшкино],554 кКал,"52,3 г","6,2 г","35,6 г"
Elle [Яшкино],240 кКал,"35,7 г","2,7 г","9,5 г"
Fun Banan [Яшкино],490 кКал,63 г,"4,5 г",24 г
Impulse [Яшкино],447 кКал,73 г,"2,6 г","16,5 г"
Pro Чипсы [Яшкино],510 кКал,51 г,6 г,31 г
Zебра [Яшкино],460 кКал,52 г,"5,4 г",26 г
Арахис в Какао [Яшкино],410 кКал,73 г,8 г,13 г
Арахис в Молочной Шоколадной Глазури [Яшкино],570 кКал,35 г,14 г,41 г
Батончик [Яшкино],485 кКал,"59,2 г","7,2 г","24,3 г"
Батончик Funbanan [Яшкино],490 кКал,63 г,"4,5 г",24 г
Батончик Zebra [Яшкино],470 кКал,58 г,"6,5 г",24 г
Батончик Зебра [Яшкино],460 кКал,52 г,"5,4 г",26 г
Белый Шоколад [Яшкино],575 кКал,54 г,7 г,37 г
Белый Шоколад Карамельный [Яшкино],550 кКал,56 г,8 г,33 г
Бельгийский Молочный Шоколад [Яшкино],530 кКал,60 г,5 г,29 г
Бельгийский Молочный Шоколад с Бисквитными Шариками [Яшкино],510 кКал,61 г,"5,5 г",27 г
Бельгийский Молочный Шоколад с Черносливом и Кукурузными Хлопьями [Яшкино],490 кКал,60 г,5 г,25 г
Бельгийский Темный Шоколад 55% Какао [Яшкино],525 кКал,47 г,"5,5 г",35 г
Бисквитное Печенье [Яшкино],295 кКал,61 г,"3,5 г",4 г
Бисквитное Печенье Апельсин [Яшкино],370 кКал,68 г,4 г,9 г
Бретцель с Солью [Яшкино],410 кКал,69 г,"9,5 г",11 г
"Вафельная Конфета ""Дивная Даренка"" Глазированная [Яшкино]",560 кКал,62 г,"5,1 г",32 г
Вафельная Конфета [Яшкино],520 кКал,62 г,5 г,32 г
Вафельная Конфета Импульс [Яшкино],490 кКал,62 г,4 г,25 г
Вафельное Драже [Яшкино],529 кКал,"54,3 г","7,5 г","32,3 г"
Вафельные Кубики в Молочной Глазури [Яшкино],550 кКал,56 г,"4,2 г",32 г
Вафельные Рулетики со Вкусом Сгущённого Молока [Яшкино],510 кКал,66 г,5 г,25 г
Вафельные Рулетики со Сгущенкой [Яшкино],510 кКал,"66,2 г",5 г,"25,2 г"
Вафельные Трубочки [Яшкино],482 кКал,"71,7 г",7 г,"23,7 г"
Вафельные Трубочки Лесной Орех [Яшкино],500 кКал,64 г,8 г,23 г
Вафельные Трубочки Ореховые [Яшкино],490 кКал,64 г,"5,5 г",23 г
Вафельные Трубочки со Вкусом Сгущённого Молока [Яшкино],490 кКал,69 г,"4,5 г",22 г
Вафельный Сэндвич [Яшкино],500 кКал,58 г,"5,5 г",27 г
"Вафли ""Яшкинская Белочка"" [Яшкино]",470 кКал,56 г,6 г,25 г
Вафли Impulse [Яшкино],460 кКал,55 г,"3,6 г",25 г
Вафли Белочка [Яшкино],510 кКал,60 г,7 г,28 г
Вафли в Шоколаде [Яшкино],530 кКал,57 г,5 г,31 г
Вафли Вафельный Сэндвич [Яшкино],510 кКал,56 г,"5,5 г",30 г
Вафли Глазированные [Яшкино],520 кКал,58 г,"5,5 г",30 г
Вафли Глазированные в Карамели [Яшкино],450 кКал,54 г,6 г,24 г
Вафли Глазированные с Орехами [Яшкино],500 кКал,51 г,"5,5 г",30 г
Вафли Глазированные с Орешками Яшкино,530 кКал,55 г,6 г,32 г
Вафли Голландские [Яшкино],430 кКал,67 г,"5,5 г",15 г
Вафли Голландские с Карамельной Начинкой [Яшкино],440 кКал,69 г,6 г,15 г
Вафли Голландские с Карамелью [Яшкино],440 кКал,50 г,7 г,24 г
Вафли Голландские с Начинкой из Варёной Сгущёнки [Яшкино],420 кКал,63 г,6 г,16 г
Вафли Голландские со Сгущенкой [Яшкино],437 кКал,"65,3 г","6,7 г","16,4 г"
Вафли Зебра [Яшкино],520 кКал,63 г,5 г,27 г
Вафли Капуччино [Яшкино],515 кКал,"60,1 г","4,9 г","27,6 г"
Вафли Месье Шоколатье [Яшкино],510 кКал,58 г,"5,5 г",28 г
Вафли Ореховые [Яшкино],480 кКал,57 г,6 г,25 г
Вафли с Варёной Сгущёнкой [Яшкино],520 кКал,63 г,5 г,27 г
Вафли с Карамельной Начинкой [Яшкино],430 кКал,67 г,"5,5 г",15 г
Вафли с Карамелью [Яшкино],440 кКал,50 г,7 г,24 г
Вафли с Карамелью Глазированные [Яшкино],450 кКал,56 г,"4,5 г",24 г
Вафли с Мягкой Карамелью [Яшкино],460 кКал,55 г,"3,6 г",25 г
Вафли с Мягкой Карамелью Глазированные Шоколадом [Яшкино],450 кКал,54 г,6 г,24 г
Вафли с Мягкой Карамелью и Воздушной Кукурузой [Яшкино],470 кКал,65 г,6 г,21 г
"Вафли с Мягкой Карамелью, Арахисом и Изюмом [Яшкино]",480 кКал,55 г,7 г,26 г
Вафли с Орешками [Яшкино],500 кКал,51 г,"5,5 г",30 г
Вафли с Пористым Шоколадом [Яшкино],555 кКал,"61,7 г","5,4 г","31,8 г"
Вафли с Халвой [Яшкино],500 кКал,60 г,"7,5 г",26 г
Вафли со Вкусом Лимона [Яшкино],550 кКал,63 г,5 г,31 г
Вафли со Сгущенкой [Яшкино],510 кКал,63 г,5 г,26 г
Вафли со Сливочным Вкусом [Яшкино],480 кКал,58 г,"4,5 г",26 г
Вафли Твист [Яшкино],500 кКал,58 г,"5,5 г",27 г
Вафли Топ-Топ [Яшкино],510 кКал,61 г,"6,5 г",27 г
Вафли Хрустящие Шоколадные [Яшкино],540 кКал,63 г,6 г,29 г
Вафли Шоколадные [Яшкино],510 кКал,60 г,"5,5 г",28 г
Вафли Шоколайт [Яшкино],510 кКал,60 г,"5,5 г",27 г
Вафли Южная Страна [Яшкино],510 кКал,61 г,"5,5 г",28 г
Венские Мягкие Вафли с Вишневым Джемом [Яшкино],390 кКал,60 г,"4,5 г",15 г
Венские Мягкие Вафли с Кремом Вареная Сгущенка [Яшкино],400 кКал,50 г,"5,9 г",20 г
Версаль [Яшкино],410 кКал,77 г,"1,5 г",11 г
Галета [Яшкино],380 кКал,71 г,10 г,"5,5 г"
Глазированные Хрустящие Вафли [Яшкино],540 кКал,60 г,"5,5 г",33 г
Глазированные Хрустящие Вафли с Орешками [Яшкино],540 кКал,56 г,6 г,32 г
Глазированный Вафельный Торт [Яшкино],530 кКал,55 г,"6,3 г",32 г
Глазированный Вафельный Торт Ореховый [Яшкино],540 кКал,56 г,6 г,32 г
Горький Шоколад с Кусочками Какао-Бобов [Яшкино],560 кКал,25 г,8 г,48 г
Грановская Кунжутка [Яшкино],547 кКал,"49,2 г",11 г,34 г
Дивная Даренка [Яшкино],380 кКал,87 г,1 г,3 г
Драже Арахис в Молочной Шоколадной Глазури [Яшкино],490 кКал,53 г,11 г,27 г
"Жевательные Конфеты ""Нота Бум"" [Яшкино]",420 кКал,82 г,"5,3 г","13,1 г"
Жевательный Мармелад [Яшкино],310 кКал,76 г,2 г,0 г
Заварики [Яшкино],532 кКал,"50,5 г","11,4 г","28,5 г"
Заварные Пышечки в Белой Глазури [Яшкино],435 кКал,"53,5 г","6,2 г",22 г
Зебра [Яшкино],490 кКал,54 г,"7,5 г",27 г
Зебра Мини [Яшкино],430 кКал,52 г,6 г,23 г
Зефир в Кондитерской Глазури [Яшкино],380 кКал,71 г,2 г,10 г
Зефир в Шоколаде [Яшкино],390 кКал,74 г,"1,5 г","9,5 г"
Зефир Ванильный [Яшкино],330 кКал,76 г,1 г,0 г
Зефир Ванильный Belucci [Яшкино],320 кКал,79 г,1 г,0 г
Зефир с Малиной [Яшкино],320 кКал,79 г,1 г,0 г
Золотая Рыбка Крекер [Яшкино],430 кКал,69 г,"8,5 г",13 г
Изюм в Сахарной Глазури [Яшкино],330 кКал,88 г,"0,5 г","0,1 г"
Импульс [Яшкино],485 кКал,"59,2 г","7,2 г","24,3 г"
Ирис Нота Бум [Яшкино],411 кКал,"81,9 г","3,8 г","8,7 г"
Ирис с Арахисом [Яшкино],460 кКал,66 г,8 г,18 г
Ирис с Шоколадным Вкусом [Яшкино],400 кКал,79 г,3 г,"8,5 г"
Ирис Сливочный [Яшкино],420 кКал,84 г,"2,1 г","8,5 г"
Ирис Тираженный с Арахисом [Яшкино],460 кКал,66 г,8 г,18 г
Итальянский Кекс [Яшкино],380 кКал,49 г,"5,5 г",18 г
Итальянский Кекс с Вишневым Джемом и Шоколадным Кремом [Яшкино],390 кКал,50 г,"5,5 г",19 г
Итальянский Кекс с Клубничным Джемом и Сливочным Кремом [Яшкино],380 кКал,50 г,"5,5 г",18 г
Итальянский Круассан с Шоколадным Кремом [Яшкино],420 кКал,50 г,"6,5 г",21 г
Итальянский Круассан со Сливочным Кремом [Яшкино],410 кКал,52 г,"6,5 г",19 г
Итальянский Круассан со Сливочным Кремом [Яшкино],180 кКал,22 г,3 г,9 г
Карамель в Глазури Дворянка [Яшкино],400 кКал,86 г,"3,5 г",5 г
Карамельный Шоколад [Яшкино],570 кКал,53 г,9 г,36 г
Классический Крекер [Яшкино],460 кКал,66 г,"8,5 г",18 г
Конфета Белуччи [Яшкино],440 кКал,60 г,"1,5 г",21 г
Конфета Итальяна [Яшкино],413 кКал,"73,3 г","2,9 г","12,6 г"
Конфета Крокант с Миндалем [Яшкино],570 кКал,"48,9 г","5,6 г","38,1 г"
Конфета Мексикана [Яшкино],510 кКал,"55,8 г","4,4 г","29,9 г"
Конфета Ярче [Яшкино],533 кКал,"58,5 г","6,7 г","30,3 г"
Конфета Яшкинская Картошка [Яшкино],533 кКал,"53,7 г","7,8 г","12,5 г"
"Конфеты ""Загорская Сливочная"" [Яшкино]",390 кКал,85 г,"2,5 г",4 г
"Конфеты ""Чио Рио"" [Яшкино]",315 кКал,"33,6 г",2 г,"19,2 г"
Конфеты Belucci [Яшкино],430 кКал,61 г,"1,5 г",20 г
Конфеты Elle с Шоколадно-Ореховой Начинкой [Яшкино],520 кКал,65 г,"4,5 г",27 г
Конфеты Glaze [Яшкино],420 кКал,76 г,"1,5 г",12 г
Конфеты Белая Черемуха [Яшкино],380 кКал,"63,8 г","2,5 г","14,2 г"
Конфеты Бон Тайм [Яшкино],438 кКал,"38,6 г","2,4 г","15,4 г"
Конфеты Версаль [Яшкино],410 кКал,77 г,"2,5 г",11 г
Конфеты Глэйс [Яшкино],410 кКал,73 г,2 г,12 г
Конфеты Желейные Эки-Боки [Яшкино],310 кКал,76 г,2 г,0 г
Конфеты Крокант [Яшкино],396 кКал,"48,9 г","5,6 г","38,1 г"
Конфеты Крокант [Яшкино],24 кКал,"2,9 г","0,3 г","2,3 г"
Конфеты Нильс [Яшкино],392 кКал,"96,2 г",0 г,"0,1 г"
Конфеты Томские Классические [Яшкино],440 кКал,57 г,"2,5 г",22 г
Конфеты Фэнси [Яшкино],320 кКал,"71,3 г","0,9 г","7,4 г"
Конфеты Ярче [Яшкино],478 кКал,53 г,"10,3 г","24,4 г"
Конфеты Яшкинская Картошка [Яшкино],486 кКал,"49,7 г","5,4 г","29,6 г"
"Крекер ""Золотая Рыбка"" [Яшкино]",420 кКал,71 г,9 г,14 г
Крекер Визит Нежности [Яшкино],460 кКал,62 г,8 г,20 г
Крекер Поляна Сказок [Яшкино],470 кКал,62 г,"7,5 г",21 г
Крекер с Кунжутом [Яшкино],510 кКал,66 г,"8,5 г",24 г
Крекер с Солью [Яшкино],450 кКал,67 г,9 г,15 г
Крекер с Сыром [Яшкино],450 кКал,60 г,"8,5 г",20 г
Крекер с Томатом и Базиликом [Яшкино],460 кКал,63 г,9 г,18 г
Крекер со Злаками [Яшкино],440 кКал,61 г,"9,5 г",19 г
Крекер Французский [Яшкино],490 кКал,62 г,8 г,23 г
Крекер Французский с Кунжутом [Яшкино],510 кКал,66 г,"8,5 г",24 г
Крендельки Бретцель с Солью [Яшкино],410 кКал,69 г,"9,5 г",11 г
Крендельки с Солью [Яшкино],410 кКал,69 г,"9,5 г",11 г
Крокант [Яшкино],560 кКал,"49,7 г","6,5 г","37,7 г"
Крокант с Миндалем [Яшкино],556 кКал,"49,7 г","6,6 г","37,1 г"
Круасан [Яшкино],180 кКал,22 г,3 г,9 г
Круассан с Вареной Сгущенкой [Яшкино],410 кКал,49 г,6 г,20 г
Круассан с Вишнёвым Джемом [Яшкино],400 кКал,54 г,5 г,17 г
Круассан с Шоколадным Кремом [Яшкино],400 кКал,51 г,"6,5 г",19 г
Круассан со Сливочным Кремом [Яшкино],410 кКал,52 г,"6,5 г",19 г
Леденцы с Соком [Яшкино],362 кКал,96 г,0 г,0 г
Мармелад Сердечки [Яшкино],290 кКал,71 г,"0,5 г",0 г
Мармелад Фруктовый Микс [Яшкино],310 кКал,76 г,2 г,0 г
