Продукт,Калорийность,Углеводы,Белки,Жиры
"Детское питание, Банан, без тапиоки, пюре",91 кКал,"19,74 г",1 г,"0,2 г"
"Детское питание, Горошек и коричневый рис",64 кКал,"8,99 г","3,4 г","0,5 г"
"Детское питание, Груши, кубики, для детей, начинающих ходить",57 кКал,"12,4 г","0,3 г","0,1 г"
"Детское питание, Десерт, банан с яблоком, пюре",68 кКал,"15,3 г","0,3 г","0,2 г"
"Детское питание, Десерт, банановый йогурт, пюре",78 кКал,"16,85 г","1,1 г","0,52 г"
"Детское питание, Десерт, банановый пудинг, пюре",68 кКал,"13,34 г",1 г,"0,8 г"
"Детское питание, Десерт, вишневый пудинг, с ванилью, пюре",68 кКал,"17,5 г","0,2 г","0,3 г"
"Детское питание, Десерт, голландские яблоки, пюре",75 кКал,"18,34 г","0,2 г","0,4 г"
"Детское питание, Десерт, заварной крем, ванильный, пюре",85 кКал,16 г,"1,6 г",2 г
"Детское питание, Десерт, персиковый йогурт",77 кКал,"17,2 г","0,9 г","0,18 г"
"Детское питание, Десерт, персиковый коблер (фруктовый пирог с толстой верхней коркой), пюре",65 кКал,"17,1 г","0,3 г",0 г
"Детское питание, Десерт, фруктовый пудинг, ананас, пюре",81 кКал,"19,6 г","1,3 г","0,3 г"
"Детское питание, Десерт, фруктовый пудинг, апельсиновый, пюре",80 кКал,"17,1 г","1,1 г","0,9 г"
"Детское питание, Десерт, фруктовый, без доб. аскорбиновой кислоты, пюре",59 кКал,"15,4 г","0,3 г",0 г
"Детское питание, Десерт, черничный йогурт, пюре",77 кКал,"16,65 г","0,5 г","0,7 г"
"Детское питание, Йогурт, цельное молоко, с фруктами, со злаками, с доб. DHA-Докозагексаеновая кислота",98 кКал,"12,92 г","3,4 г","3,53 г"
"Детское питание, Йогурт, цельное молоко, с фруктами, со злаками, с доб. железа",92 кКал,"12,4 г","3,05 г","3,08 г"
"Детское питание, Картофельное пюре, чеддер и брокколи, для детей, начинающих ходить",48 кКал,"6,27 г","1,11 г","1,47 г"
"Детское питание, Картошка, для детей, начинающих ходить",52 кКал,"10,83 г",1 г,"0,1 г"
"Детское питание, Каша, коричневый рис, сухая, быстрого приготовления",406 кКал,"79,48 г","8,7 г",3 г
"Детское питание, Каша, овсяная, приготовленная на цельном молоке",116 кКал,"14,2 г",5 г,"4,1 г"
"Детское питание, Каша, овсяная, с бананом, приготовленная на цельном молоке",86 кКал,"9,6 г","3,82 г","3,46 г"
"Детское питание, Каша, овсяная, с бананом, сухая",399 кКал,"72,87 г","6,67 г","6,67 г"
"Детское питание, Каша, овсяная, с медом, приготовленная на цельном молоке",115 кКал,"15,3 г",5 г,"3,9 г"
