Продукт,Калорийность,Углеводы,Белки,Жиры
"Агар (*в т. ч. НПВ-75,6)",12 кКал,"0,8 г",2 г,0 г
Агар пищевой,16 кКал,0 г,4 г,0 г
Батончики на кондитерском жире,527 кКал,"62,5 г","3,3 г","30,5 г"
Вафли с жировыми начинками,542 кКал,"62,5 г","3,9 г","30,6 г"
Вафли с фруктово-ягодными начинками,354 кКал,"77,3 г","2,8 г","3,3 г"
Галеты,393 кКал,"65,6 г","9,7 г","10,2 г"
"Галеты, из муки высшего сорта",415 кКал,"68,4 г","9,7 г","10,2 г"
"Галеты, из муки первого сорта",345 кКал,"69,5 г",11 г,"1,4 г"
Глазурь жировая,547 кКал,"48,9 г","3,9 г","37,2 г"
Глазурь шоколадная,542 кКал,"52,5 г","4,9 г","34,5 г"
"Десерт, хрустящие яблоки, приготовленные по рецепту",161 кКал,"29,44 г","1,75 г","3,43 г"
"Десерт, шоколадный мусс, приготовленный по рецепту",225 кКал,"15,47 г","4,14 г",16 г
Драже сахарное,393 кКал,"97,7 г",0 г,0 г
"Драже, ореховое","547,5 кКал","41,4 г","11,9 г","38,3 г"
"Драже, фруктово-ягодное в шоколаде",389 кКал,"73,1 г","3,7 г","10,2 г"
"Жвачка, 360 ккал",360 кКал,"94,3 г",0 г,"0,3 г"
"Жвачка, без сахара, 268 ккал",268 кКал,"92,4 г",0 г,"0,4 г"
Желатин пищевой,355 кКал,"0,7 г","87,2 г","0,4 г"
"Желатин, сухой порошок, неподслащенный",335 кКал,0 г,"85,6 г","0,1 г"
"Желе, десерт, сухая смесь, малокалорийный, с добавками: аспаратам (E951)",198 кКал,"80,11 г","15,67 г",0 г
"Желе, десерт, сухая смесь, малокалорийный, с добавками: аспаратам (E951), без доб. натрия",345 кКал,"33,3 г","55,3 г",0 г
"Желе, десерт, сухая смесь, малокалорийный, с добавками: аспаратам (E951), приготовленный на воде",20 кКал,"4,22 г","0,83 г",0 г
"Желе, десерт, сухая смесь, малокалорийный, с добавками: аспаратам (E951), фосфор, калий, натрий, витамин C",345 кКал,"33,3 г","55,3 г",0 г
"Желе, десерт, сухая смесь, приготовленный на воде",60 кКал,"14,19 г","1,22 г",0 г
"Желе, десерт, сухая смесь, с доб. аскорбиновой кислоты, цитрата натрия, и соли",381 кКал,"90,5 г","7,8 г",0 г
"Желе, сухая смесь",381 кКал,"90,5 г","7,8 г",0 г
Жир кондитерский для шоколадных изделий,897 кКал,0 г,0 г,"99,7 г"
Жир кондитерский твердый,898 кКал,0 г,0 г,"99,8 г"
Заварные трубочки с кремом,329 кКал,"55,2 г","5,9 г","10,2 г"
"Замороженный йогурт, шоколадный",131 кКал,"19,3 г",3 г,"3,6 г"
Зефир,326 кКал,"79,8 г","0,8 г","0,1 г"
"Зефир, глазированный шоколадом",396 кКал,"68,4 г","2,2 г","12,3 г"
Ирис полутвердый,408 кКал,"81,5 г","3,3 г","7,6 г"
Ирис тираженный,443 кКал,"68,2 г","6,6 г","15,9 г"
Какао-порошок,289 кКал,"10,2 г","24,3 г",15 г
"Какао-порошок, неподслащенный",228 кКал,"20,9 г","19,6 г","13,7 г"
"Какао-порошок, неподслащенный, HERSHEY'S European Style Cocoa",410 кКал,40 г,20 г,10 г
"Какао-порошок, неподслащенный, прошедший алкализацию",220 кКал,"28,5 г","18,1 г","13,1 г"
"Какао-порошок, с высоким содерж. жира, или для завтрака, прошедший алкализацию",479 кКал,"15,81 г","16,8 г","23,71 г"
Какаовелла,147 кКал,11 г,15 г,"4,5 г"
Карамель глазированная,378 кКал,"92,9 г",1 г,"0,8 г"
"Карамель, леденцовая",384 кКал,"95,8 г",0 г,0 г
"Карамель, с ликерными начинками",358 кКал,"92,6 г",0 г,"0,1 г"
"Карамель, с молочными начинками",377 кКал,"91,2 г","0,8 г",1 г
"Карамель, с ореховыми начинками",410 кКал,"86,6 г","3,1 г","7,3 г"
"Карамель, с помадными начинками",366 кКал,"94,7 г",0 г,"0,1 г"
"Карамель, с прохладительными начинками",429 кКал,88 г,0 г,10 г
"Карамель, с фруктово-ягодными начинками",371 кКал,"92,4 г","0,1 г","0,1 г"
"Карамель, с шоколадно-ореховыми начинками",427 кКал,"87,1 г","1,6 г",8 г
Конфеты глазированные шоколадом с желейными корпусами,359 кКал,"69,4 г","1,4 г","8,2 г"
"Конфеты глазированные шоколадом, ассорти с пралиновыми начинками",533 кКал,"56,9 г","6,9 г","30,8 г"
"Конфеты глазированные шоколадом, с грильяжными корпусами",489 кКал,"64,9 г","7,8 г",22 г
"Конфеты глазированные шоколадом, с комбинированными корпусами",414 кКал,"69,7 г","3,9 г","14,6 г"
"Конфеты глазированные шоколадом, с кремово-сбивными корпусами",463 кКал,"54,7 г","2,7 г","25,8 г"
"Конфеты глазированные шоколадом, с кремовыми корпусами",523 кКал,"53,6 г","7,5 г","31,8 г"
"Конфеты глазированные шоколадом, с начинками между слоями вафель",535 кКал,"57,9 г","5,8 г",32 г
"Конфеты глазированные шоколадом, с помадными корпусами",399 кКал,"81,8 г","1,5 г","7,2 г"
"Конфеты глазированные шоколадом, с пралине со слоями вафель",533 кКал,"56,6 г","6,6 г",31 г
"Конфеты глазированные шоколадом, с пралиновыми корпусами",533 кКал,"56,9 г","6,9 г","30,8 г"
"Конфеты глазированные шоколадом, с фруктовыми корпусами",369 кКал,"74,3 г","1,6 г","8,6 г"
"Конфеты глазированные шоколадом, с шоколадно-кремовыми корпусами",569 кКал,"51,3 г",4 г,"39,5 г"
"Конфеты глазированные шоколадом, с шоколадно-ореховыми корпусами",547 кКал,"54,6 г","6,4 г","34,6 г"
"Конфеты глазированные шоколадом, со сбивными корпусами",413 кКал,65 г,3 г,"15,5 г"
Конфеты неглазированные шоколадные,491 кКал,"59,2 г",4 г,"26,3 г"
"Конфеты неглазированные, молочные",364 кКал,"82,3 г","2,7 г","4,3 г"
"Конфеты неглазированные, помадные",445 кКал,"70,9 г","3,7 г","16,2 г"
"Конфеты неглазированные, фруктово-помадные",346 кКал,"90,6 г",0 г,0 г
"Конфеты,  ALMOND JOY BITES",563 кКал,"53,24 г","5,58 г","34,5 г"
"Конфеты, MASTERFOODS USA, MILKY WAY Карамель, в глазури из молочного шоколада",463 кКал,"67,79 г","4,28 г","19,17 г"
"Конфеты, батончик  5TH AVENUE (произв: Корпорация Hershey)",482 кКал,"59,58 г","8,78 г","23,98 г"
"Конфеты, батончик ALMOND JOY (произв: Hershey)",479 кКал,"54,51 г","4,13 г","26,93 г"
"Конфеты, батончик BUTTERFINGER (произв: Нестле), NESTLE",459 кКал,"70,9 г","5,4 г","18,9 г"
"Конфеты, батончик Сникерс, SNICKERS (произв: MASTERFOODS USA)",491 кКал,"59,21 г","7,53 г","23,85 г"
"Конфеты, баточник 3 MUSKETEERS (произв: Мастерфудз США)",436 кКал,"76,27 г","2,6 г","12,75 г"
"Конфеты, в шоколадной глазури, диетические или низкокалорийные",590 кКал,"34,18 г","12,39 г","43,27 г"
